VOLTAIRE	VOLTAIRE
TIZENNYOLCADIK FEJEZET. Mit láttak Eldorádóban?	Chương XVIII THẦY TRÒ CACAMBO THẤY GÌ Ở XỨ ELDORADO
TIZENKILENCEDIK FEJEZET. Mi történt velök Surinamban s hogyan kötött Candide ismeretséget Martinnal?	Chương XIX HAI NGƯỜI ĐẾN SURINAM; CHÀNG NGÂY THƠ LÀM QUEN VỚI MARTIN
HUSZADIK FEJEZET. Mi történt Candide-dal és Martinnal a tengeren?	Chương XX ĐIỀU GÌ XẢY RA TRÊN BIỂN VỚI CHÀNG NGÂY THƠ VÀ MARTIN
HUSZONEGYEDIK FEJEZET. Candide és Martin Franciaország partjai felé közelednek és folytatják az eszmecserét.	Chương XXI TÀU TỚI GẦN BỜ BIỂN PHÁP, HAI NGƯỜI VẪN ĐÀM LUẬN
HUSZONKETTEDIK FEJEZET. Mi történt Candide-dal és Martinnal Franciaországban?	Chương XXII BIẾN CỐ XẢY ĐẾN CHO HAI NGƯỜI Ở NƯỚC PHÁP
HUSZONHARMADIK FEJEZET. Candide és Martin angol partokhoz érkeznek; mit látnak ott?	Chương XXIII CHÀNG NGÂY THƠ VÀ MARTIN TỚI MIỀN DUYÊN HẢI ANH RỒI BỎ ĐI NGAY
HUSZONNEGYEDIK FEJEZET. Raquette és Giroflée barát története.	Chương XIV GẶP LẠI CÔ PAQUETTE TRONG TAY MỘT TU SĨ
HUSZONÖTÖDIK FEJEZET. Látogatás Pococuranté őnagyméltóságánál, a velencei nemesnél.	Chương XXV ĐI DU THUYỀN ĐẾN THĂM LÃNH CHÚA POCOCURENTÉ, NHÀ QUÝ TỘC THÀNH VENISE
HUSZONHATODIK FEJEZET. Candide és Martin együtt vacsorálnak hat idegennel; kik ezek az idegenek?	Chương XXVI CHÀNG NGÂY THƠ VÀ MARTIN DÙNG BỮA VỚI SÁU NGƯỜI NGOẠI QUỐC
HUSZONHETEDIK FEJEZET. Candide Konstantinápolyba utazik.	Chương XXVII TRONG CUỘC HÀNH TRÌNH TỚI CONSTANTINOPLE, CHÀNG NGÂY THƠ GẶP LẠI NAM TƯỚC VÀ PANGLOSS
HUSZONNYOLCADIK FEJEZET. Mi történt Candide-dal, Kunigundával, Panglossal, Martinnal és a többivel?	Chương XXVIII BIỂN CỐ XẢY RA CHO CHÀNG NGÂY THƠ, CUNÉGONDE, MARTIN, PANGLOSS…
HUSZONKILENCEDIK FEJEZET. Hogyan talált a meg Candide Kunigundát és az öreg asszonyt?	Chương XXIX CHÀNG NGÂY THƠ TÁI NGỘ CUNÉGONDE
HARMINCADIK FEJEZET. Befejezés.	Chương XXX KẾT LUẬN
ELSŐ FEJEZET.	Chương I
Hogyan nevelték Candide-ot egy gyönyörü kastélyban és hogyan kergették ki onnan.	CHÀNG NGÂY THƠ ĐƯỢC NUÔI NẤNG TRONG MỘT TÒA LÂU ĐÀI TỐT ĐẸP
Westphaliában, Thunder-ten-tronckh báró ur kastélyában élt egy fiatal ember, kit a természet a legszelidebb erkölcsökkel áldott meg.	Tại vùng Westphalie, có tòa lâu đài của Nam tước Thunder-ten-tronckh; một chàng thanh niên tính tình hiền hậu, hồn nhiên sống trong tòa lâu đài này.
Arcvonásai hiven tükrözték vissza jóságos lelkét.	Bộ diện của chàng phản chiếu tâm hồn chàng.
Elég józan itélőképessége a legegyszerübb szellemmel párosult, és ugy hiszem ezért nevezték Candide1-nak.	Chàng xét đoán việc đời thẳng thắn, với một tinh thần giản dị nhất; vì lý do ấy người ta gọi chàng là "chàng Ngây Thơ".
A ház régi cselédei ugy sejtették, hogy Candide a báró ur nővérének és egy környékbeli derék és tisztességes nemesnek a fia, akihez a kisasszony semmikép sem akart feleségül menni, mert a szerencsétlen férfi csak hetvenegy családfát tudott felmutatni s családfájának többi ágazatát elpusztitották az idő viharai.	Những gia nhân hầu hạ trong nhà từ lâu năm nghi ngờ chàng là con của bà em nam tước với một người trưởng giả cùng xóm, sống lương thiện; nhưng bà không muốn cưới ông trưởng giả này vì ông chỉ có thể minh chứng được 71 chi tộc của ông, còn bao nhiêu trong tờ tông chi thì bị thất lạc vì sự tàn nhẫn của thời gian.
A báró ur Westphalia leghatalmasabb urai közé számitott, mert kastélyának egy kapuja és néhány ablaka volt; sőt a nagy termet még szőnyeg is ékesitette.	Nam tước là một trong những lãnh chúa thế lực nhất vùng Westphalie; lâu đài của ông có một cửa lớn và nhiều cửa sổ.
A báróné asszony, ki körülbelül háromszázötven fontot nyomott, már ennek révén is nagy tekintélynek örvendett és még tiszteletre-méltóbbá tette őt az a méltóságos magatartás, mivel a ház ügyeit igazgatta.	Bà nam nước nặng chừng ba trăm năm chục cân Anh, được người ta kính trọng vì thân thể đẫy đà của bà; trong các cuộc tiếp tân của gia đình, bà tỏ ra có tư cách, bà lại càng được tôn trọng hơn.
Leánya, Kunigunda, tizenhét éves, üde arcu, élénk, telt idomu, kivána­tos leány volt.	Con gái bà là Cunégonde mới 17 tuổi, hồng hào, cao lớn, tươi đẹp.
A báró fia pedig minden tekintetben méltónak látszott atyjához.	Con trai của nam tước giống cha về đủ mọi phương diện.
Pangloss,2 a házi tanitó valóságos orákuluma volt a családnak és a kis Candide korához és jelleméhez illő lelkesedéssel hallgatta tanitásait.	Chàng Ngây Thơ tuân theo những lời giáo huấn của ông với một lòng tin tưởng theo tuổi tác của cậu và tính tình cậu.
Pangloss a metafizikai-theologiai-kozmolo-nigologiát tanitotta.	Ông Pangloss vừa dạy các khoa siêu hình-thần-vũ trụ-u-minh học.
"Nyilvánvaló, mondogatta, hogy a dolgok nem lehetnek másformák; mert minden bizonyos célra lévén alkotva, szükségképen a legjobb célra is alkottatott minden.	"Đã có sự chứng minh cho thấy rằng mọi sự kiện đều có một cứu cánh, mọi sự việc đều nhất thiết phải đi đến một cứu cánh hoàn bích hơn.
Candide figyelmesen hallgatta őt és ártatlanul hitt e tanitásoknak; mert Kunigunda kisasszonyt elragadóan szépnek találta, habár sohasem volt bátorsága ezt néki bevallani.	Chàng Ngây Thơ chú ý nghe kỹ những lời giảng thuyết ấy, vì chàng nhận thấy cô Cunégonde đẹp cực kỳ dầu không bao giờ chàng dám khen cô điều ấy.
Meggyőződése szerint azon boldogság után, hogy valaki Thunder-ten-tronckh bárónak születik, a boldogság következő foka Kunigunda kisasszonynak lenni; a harmadik: őt mindennap láthatni, a negyedik: Pangloss mestert hallgatni, ki a környéknek s ebből kifolyólag az egész világnak legnagyobb filozófusa.	Chàng kết luận rằng sau cái diễm phúc được sinh ra là nam tước Thunder-ten-tronckh, đến cái diễm phúc bậc nhì là được sinh ra là cô Cunégonde; kế đến diễm phúc bậc ba là được nhìn thấy cô suốt ngày và sau chót diễm phúc bậc tư là được nghe những lời thuyết giảng của Pangloss tiên sinh, triết gia giỏi nhất trong tỉnh và do đó là triết gia giỏi nhất hoàn cầu.
Midőn Kunigunda egy napon a kastély előtt sétált, azon a kis befásitott helyen, melyet parknak neveztek, a lombok között Pangloss doktort pillantotta meg, amint épen kisérleti fizikából adott órát az édes anyja szobaleányának, egy szép és fogékony kis barna terem­tés­nek.	Một hôm cô Cunégonde đi dạo gần lâu đài, trong một khu rừng nhỏ, nhìn thấy trong bụi rậm, tiến sĩ Pangloss đang dạy một bài học vật lý thử nghiệm cho thị tì hầu phòng của thân mẫu cô, một chị tóc nâu, rất đẹp và rất dễ dạy.
Mivelhogy Kunigunda kisasszony különösen érdeklődött a tudományok iránt, lélegzetét visszafojtva figyelte a többször megismételt kisérleteket, melyeknek véletlenül tanuja lett; világosan látta a doktor részéről az elegendő indokot, a hatásokat meg az okokat, és nagy izgatottsággal, tudni vágyással telten tért vissza, és eszébe ötlött, hogy ő is szolgálhatna elegendő indokul Candide-nak vagy Candide őneki.	Vì cô Cunégonde có nhiều thiên tư về khoa học nên cô đứng yên không thở để quan sát những thử nghiệm lặp đi lặp lại của tiến sĩ mà cô được chứng kiến; cô thấy rõ ràng lý do khiến tiến sĩ làm cuộc thí nghiệm, những hậu quả và những nguyên nhân; cô trở về lòng dao động, óc suy nghĩ rằng cô cũng có ngày trở thành thông thái và thành lý do cho chàng Ngây Thơ trẻ trung; người cũng có thể là lý do của cô.
A kastélyba visszatérve találkozott Candide-dal és elpirult; Candide szintén piros lett.	Trở về lâu đài, cô gặp chàng Ngây Thơ và đỏ mặt thẹn thuồng; chàng Ngây Thơ cũng đỏ mặt.
Kunigunda elfogódott hangon köszöntötte őt és Candide beszélt hozzá anélkül, hogy tudná, mit mond.	Cô chào chàng với một câu nhát gừng và chàng đáp lại bằng câu nói mà chàng không hiểu là mình nói gì.
MÁSODIK FEJEZET.	Chương II
Mi történt Candide-dal a bolgárok között?	CHÀNG NGÂY THƠ SỐNG CHUNG VỚI NGƯỜI BẢO GIA LỢI
Kiüzve a földi paradicsomból, sokáig mendegélt Candide anélkül, hogy tudná hova.	Chàng không ăn bữa chiều, nằm lăn ra ruộng, giữa hai luống cày, trong khi trời đổ tuyết.
- Oh, uram!	- Xin ông chớ quan tâm.
- Csakugyan uraim, ez a magasságom, mondá meg­hajolva.	- Vâng thưa ông đúng là tầm thước của tôi, chàng vừa nói vừa đứng lên thi lễ.
- Ülj le komám az asztalhoz; nem csak a fizetéstől mentünk fel, de azt sem fogjuk tűrni, hogy ilyen fickó pénz szűkében legyen; hiszen az embereknek mindenkor segiteniök kell egymást.	- Vậy thì, thưa ông, mời ông ngồi vào bàn với chúng tôi, không những chúng tôi xin chịu mọi tiền phí tổn, mà còn không bao giờ chúng tôi cho phép một người như ông lại thiếu tiền.
"Nagyon szereted...?	Câu chuyện bắt đầu.
- Oh igen, felelte, nagyon szeretem Kunigunda kisasszonyt.	- Vâng, có. - Tôi yêu tha thiết cô Cunégonde.
- Nem róla van szó, mondá az egyik kékruhás, azt kérdezzük, hogy nagyon szereted-é a bolgár királyt?	- Không, một trong hai người hỏi lại, chúng tôi muốn hỏi ông có yêu tha thiết vua Bảo Gia Lợi không? - Không!
- Dehogy szeretem, hiszen sohasem láttam.	- Tại sao ông không biết Ngài.
- Ugyan ne mondd, pedig ő a legszeretetreméltóbb király, igyunk az egészségére.	Ngài là ông vua khả ái nhất, chúng ta phải nâng ly chúc cho vua trường thọ.
- Kész örömmel, Uraim!" És ivott.	- Tôi rất vui lòng, thưa hai ông.
Ott rászoktatják, hogy jobbra-át, balra-át, vállhoz a puskát, lábhoz a puskát, célozz, lőjj, lépést szaporázz - s végül harmincat kap a fenekére; másnap már jobban végzi a gyakorlatot és csak huszat kap; a következő napon már csak tizet adnak neki és pajtásai ugy nézik, mint valami csodát.	Hôm sau, chàng lại tập, ít vụng về hơn hôm trước và chàng chỉ phải nhận hai mươi gậy thôi; hôm sau nữa người ta chỉ cho chàng có mười gậy và chàng được các chiến hữu coi như một người phi thường.
Candide nagyon elcsodálkozott a történteken és még nem igen értette, hogyan lett hőssé.	Chàng Ngây Thơ rất ngạc nhiên, chẳng hiểu tại sao chàng trở thành một vị anh hùng.
Egy szép tavaszi napon sétára határozta magát s mindég egyenesen előre ment, mert meg volt róla győződve, hogy lábaiknak kedvök szerint való használata ép oly kiváltsága az emberi, mint az állati nemnek.	Trong một ngày mùa xuân tốt trời, chàng đi dạo đầu thẳng và nhìn về phía trước; chàng suy luận rằng đặc ân của loài người và cũng là đặc ân của loài thú, là được tự tiện dùng hai cái chân của mình.
Ám alig tett meg két mértföldet, midőn négy másik, hat láb magas hős utolérte, megkötözte, elhurcolta és tömlöcbevetette.	Chàng đi chưa được hai dặm thì bỗng có bốn vị anh hùng khác, cao sáu bộ, bắt kịp chàng, trói tay chàng đem về phòng giam kín.
Mivel pedig a hadsereg kétezer emberből állott, ez négyezer ütést jelentett számára, amik nyakszirtjétől faráig záporként hullottak rá.	Liên đội gồm có hai nghìn người; thế là chàng phải chịu bốn nghìn roi đánh từ trên cổ xuống tới đít.
Mikor a harmadik futásra került volna a sor, Candide ugy érezte, hogy ezt már nem birja ki s azt a kegyet kérte, legyenek oly irgalmasak s zuzzák szét a fejét.	Vì người ta đang tiến hành lượt thứ ba, chàng đã bị trầy da chảy máu, thấy chịu không nổi nữa bèn xin một ân huệ là bắn bể đầu chàng.
Hajlandók voltak ezt a kegyet megadni; szemeit bekötözik, letérdepeltetik.	Người ta cho chàng được hưởng ân huệ ấy, lấy băng bịt mắt chàng, bắt chàng quỳ gối xuống.
E pillanatban megjelenik a bolgár király és érdeklődik az elitélt büne felől.	Nhằm lúc vua Bảo Gia Lợi vừa đi qua, Ngài hỏi biết được tội trạng của chàng: vua vốn là người tài trí lớn.
Egy derék felcser három hét alatt meggyógyitá Candide-ot a Dioszkoridesz ajánlotta orvosszerekkel.	Một nhà giải phẫu giỏi chữa trị cho chàng lành các vết thương sau ba tuần lễ bằng các phương thuốc cao truyền từ đời Dioscoride.
Már egy kissé behegedtek sebei és már járni is tudott, midőn a bolgár király háborut inditott az arab király ellen.	Các vết thương đã lên da và chàng có thể đi đứng được khi vua Bảo Gia Lợi gây chiến với vua Abares.
HARMADIK FEJEZET.	Chương III
Hogyan szabadult meg Candide a bolgároktól és mily sorsra jutott?	CHÀNG NGÂY THƠ THOÁT KHỎI TAY NGƯỜI BẢO GIA LỢI
Először az ágyuk söpörtek el körülbelül hatezer embert mindkét részről; azután a muskétások szabaditották meg ezt a legjobb világot vagy kilenc-tizezer bitangtól, akik rontották itt a levegőt; a szurony is elegendő oka volt néhány ezer ember halálának.	Những tiếng súng thần công bắn ngã gần sáu nghìn người mỗi bên; kế đến lính pháo thủ hạ hết những binh lính thiện chiến chừng chín, mười ngàn người, thây chất đầy mặt đất, sau đến những lưỡi lê cũng làm cho vài ngàn người bỏ mạng.
Az áldozatok száma jóval tulhaladhatta a harmincezret.	Tất cả lên tới chừng ba vạn nhân mạng.
Candide, aki ugy reszketett, mint egy filozófushoz illik, a legjobb képessége szerint elrejtőzködött a hősi mészárlás alatt.	Chàng Ngây Thơ run rẩy như một nhà triết học, chàng cố sức ẩn núp trong cuộc giết thịt người hùng dũng ấy.
Végül, mialatt a két ellenséges király, kiki a maga táborában, a Te Deum-ot énekeltette, Candide arra határozta magát, hogy máshova megy elmélkedni az okok és okozatok felől.	Sau chót, trong khi vua hai bên cho lệnh hát bài Thánh ca Te Deum trong mỗi trại binh thì chàng Ngây Thơ quyết định đi chỗ khác mà suy luận về nhân với quả.
Candide, amily gyorsan csak tudott, egy másik faluba menekült: ez a bolgároké volt s az arab hősök hasonlóképen bántak el vele.	Chàng Ngây Thơ trốn cho thật mau đến một làng khác; làng này về bên phe Bảo Gia Lợi nên những anh hùng Abares đối xử nó như thế kia.
Mire Hollandiába érkezett, el­fogyott az ennivalója, de mivel hallotta, hogy ebben a boldog országban mindenki gazdag és keresztény, nem kételkedett abban, hogy ép oly jól fognak vele bánni, mint a báró ur kastélyában, mielőtt Kunigunda kisasszony szép szemei miatt kiüzték onnan.	Đã nghe người ta nói rằng dân nước này giàu có và theo đạo Cơ đốc, nên chàng không thể ngờ rằng họ xấu với chàng và tin rằng họ cũng đối xử tốt với chàng như hồi chàng còn ở trong lâu đài của vị nam tước, trước khi bị đuổi đi chỉ vì cặp mắt đẹp của cô Cunégonde.
Alamizsnát kért több előkelő személytől, de valamennyien figyelmeztették arra, hogy ha nem hagy fel a koldulás mesterségével, javitó intézetbe zárják s ott majd megtanulja, hogyan keresse meg a kenyerét:	Chàng chìa tay xin tiền những người có vẻ bệ vệ; tất cả mọi người đều cho chàng hay rằng chàng sẽ bị bắt giam vào trại giáo hoá để dạy chàng sống.
valami jó ügy hozott ide?	- Anh đến đây làm gì?
- Barátom, kérdé a hitszónok, azon a nézeten vagy, hogy a pápa az Antikrisztus?	Bạn có thể tin rằng Đức Giáo hoàng là người chống Thiên Chúa giáo không? - Tôi chưa bao giờ nghe nói điều ấy.
Milyen tulzásba ragadja a nőket a vallásos buzgalom!	Sự ngoan đạo làm các bà quá trớn biết bao.
Egy ember, ki nem volt megkeresztelve, egy Jacques nevü jámbor anabaptista, végig nézte, mily kegyetlen és csufondáros módon bántak el egyik testvérével, egy lelkes, kétlábu, tollat­lan lénnyel; hazavezette otthonába, megfürdette, kenyeret és sört tett elébe s még két pengő forinttal is megajándékozta, sőt munkát is akart neki adni gyárában, hol perzsa szőnyegeket készitettek, mi Hollandiában szokásos volt.	Một người chưa hề làm phép rửa tội, tên là Jacques trông thấy cách dối đãi tàn ác như thế đối với một người đồng loại, một người đi hai chân, không có lông có cánh nhưng có một linh hồn; ông ta dắt chàng về nhà cho chàng tắm rửa và đưa bánh cùng rượu bia để chàng ăn uống.
Másnap sétaközben egy koldussal találkozott, ki mérges kelevényekkel volt boritva, szemei fénytelenek voltak, az orra vége lerohadt, szája lefittyedt, foga fekete, hangja rekedt volt, heves köhögés kinozta és minden rohamnál kiköpte egy fogát.	Ngày hôm sau trong khi chàng đi dạo, chàng gặp một người rách rưới tồi tệ, mắt đui, mũi sứt, miệng méo, răng đen, nói phều phào từ trong cuống họng, ho sù sụ và khi khạc đờm thì một cái răng rớt ra.
NEGYEDIK FEJEZET.	Chương IV
Hogyan találkozott Candide hajdani filozófia-tanitójával,	CHÀNG NGÂY THƠ GẶP LẠI THẦY CŨ, TRIẾT GIA PANGLOSS
Candide, inkább a részvéttől mint a borzalomtól indittatva, a jámbor Jacques anabaptistától kapott két pengő forintját odaadta a borzalmas állapotban lévő koldusnak.	Con người chỉ còn da bọc xương ấy chảy nước mắt nhìn chòng chọc vào chàng và muốn nhảy đến ôm chàng.
"Nagy ég!	- Chao ôi!
mondá a nyo­morult a másik nyomorultnak, hát nem ismered fel a te kedves Panglossodat?	Anh không nhận ra Pangloss của anh hay sao?
- Mit kell hallanom?	- Trời đất ơi!
te vagy az, drága mesterem, te jutottál ily borzalmas állapotba?	Mà ông lại ở trong tình trạng ghê tởm như thế này?
Mily szerencsét­lenség ért?	Ông đã gặp sự bất hạnh gì?
miért nem maradtál a világ legszebb kastélyában?	Tại sao ông không ở trong tòa lâu đài đẹp nhất?
Candide kinyitá szemeit.	Chàng mở mắt nói:
"Kunigunda meghalt!	- Cunégonde chết à?
Ó, hol talállak meg téged, elképzelhető legjobb világ?	Thế thì còn gì là hoàn thiện trên thế gian này nữa?
Erre Candide ismét elájult; de amint magához tért és mindent elmondott, ami a szivét nyomta, az okról és okozatról kezdett kérdezősködni s elegendő okát kereste annak, hogy Pangloss ily szánalmas állapotba jutott.	Sau khi nghe những lời ấy chàng Ngây Thơ ngất xỉu lần nữa; khi hồi tỉnh chàng nói chuyện huyên thuyên đủ điều, rồi hỏi nhà triết học Pangloss đâu là lý luận có nhân có quả, đâu là lí do đã làm cho nhà triết học đến nông nỗi này?
- Jaj!	- Than ôi!
Ami engem illet, én már senkire sem származtatom, mert én belehalok.	Đến tôi, tôi sẽ chẳng cho ai của ấy nữa, bởi vì tôi sẽ chết.
- Ó Pangloss!	- Ôi, Pangloss!
kiáltott fel Candide, milyen különös családfa!	chàng Ngây Thơ kêu lên, phả hệ đó mới lạ lùng làm sao!
Biztosan maga az ördög ennek az őse!	Chẳng phải quỷ dữ là nguồn gốc của nó đó sao?
- Egyáltalában nem, válaszolá a nagy férfiu, nélkülözhetetlen kelléke és szükséges alkotórésze ez a lehető legjobb világnak; mert ha Kolumbusz nem kapta volna meg Amerika egy szigetén ezt a nyavalyát, mely megmérgezi a nemzés forrását, sőt amely gyakran magát a nemzést is lehetetlenné teszi, mi világos ellen­tétben áll a természet nagy céljával, akkor nem lenne se csokoládénk se biborfestékünk; azonkivül figyelembe kell venni, hogy a mai napig csakis a mi földrészünkön terjedt el ez a betegség oly nagyon.	- Không hề, con người vĩ đại ấy đáp, đó là một cái gì đó tối cần thiết trong những cái trác tuyệt của mọi giới, một thành phần cần thiết; bởi vì nếu Colomb không tóm được, trên một hòn đảo ở châu Mỹ, cái căn bệnh đã đầu độc nòi giống ấy, cái căn bệnh luôn ngăn trở giống nòi, và cũng là cái đối lập với những mục đích của tự nhiên ấy, thì chúng ta làm gì có sôcôla, cũng chẳng có rệp son; cũng cần phải thấy rằng cho đến nay, trên hành tinh của chúng ta, căn bệnh ấy là của riêng chúng ta, cũng như việc lý sự vậy.
A törökök, indusok, perzsák, kinaiak, japánok még nem is ismerik, de megvan rá az elegendő ok, hogy néhány évszázad alatt ők is alaposan megismerjék.	Người Thổ Nhĩ Kỳ, người Ấn Độ, người Ba Tư, người Tàu, người Xiêm, người Nhật đều còn chưa biết đến nó; nhưng có một lý do đầy đủ để mà đến lượt họ biết được nó trong vài thế kỷ nữa.
- Mily csodálatos ez, mondá Candide, de téged meg kellene gyógyittatni.	- Nhưng bây giờ việc trước hết là phải làm cho tiên sinh hết bệnh.
Ezek a szavak elhatározásra birták Candide-ot; a kegyes anabaptista Jacques-nak lábai elé vetette magát és oly meghatóan festette le előtte barátja szánalmas állapotát, hogy a jámbor férfiu habozás nélkül házába fogadta Pangloss doktort és kigyógyittatta a saját költségén.	Những câu cuối cùng này làm cho chàng Ngây Thơ quyết định: Chàng sẽ tới nhà hảo tâm là ông Jacques; chàng sẽ quỳ gối trước mặt ông ta để mô tả một cách cảm động tình cảnh của nhà triết học, sau nhờ ông ta bỏ tiền ra chữa bệnh cho Pangloss.
Pangloss a kezelés alatt csupán egyik szemét és fülét vesztette el.	Nhà hảo tâm liền nhận Pangloss làm người giữ sổ sách.
A filozófus szépen tudott irni és kitünően értett a számtanhoz, igy hát az anabaptista Jacques könyvelőnek alkalmazta.	Sau hai tháng, ông phải đi Lisbonne vì công việc thương mại.
Két hónap mulva kénytelen lévén ügyeinek elintézése céljából Lisszabonba utazni, magával vitte hajóján a két filozófust.	Trên chiếc tàu buôn của ông, ông đem theo cả triết gia Pangloss và chàng Ngây Thơ.
Pangloss az uton megmagyarázta neki, hogy ezen a világon minden a lehető legjobban van elrendezve.	Pangloss giải thích cho ông tất cả mọi việc đều diễn tiến một cách hoàn thiện hơn như thế nào.
Jacques nem volt ezen a nézeten.	Jacques không đồng ý và đáp:
"Valahogy ugy kell legyen, mondá, hogy az emberek elhagyták eredeti természetöket, mert hiszen nem születtek farkasoknak és mégis farkasokká lettek.	- Con người đã làm hư hỏng cả thiên nhiên; họ không sinh ra là loài chó sói nhưng sau họ trở thành chó sói.
Isten se huszonnégy fontos ágyukat se szuronyokat nem adott az embereknek, és ők mégis szuronyokat és ágyukat gyártottak, hogy ezekkel pusztitsák egymást.	Thiên Chúa không cho họ súng thần công, không cho họ lưỡi lê, vũ khí, vậy mà họ làm ra lưỡi lê và súng thần công để tự tiêu diệt lẫn nhau.
Megemlithetném még a csődbejutottakat és az igazság-szolgál­ta­tást is, amely lefoglalván a bukott kereskedők vagyonát, megfosztja tőle a hitelezőket.	Tôi còn có thể nói thêm rằng trong những vụ khánh tận thì tòa án chiếm đoạt tài sản của những người bị khánh tận để mà gian lận tiền bạc của những chủ nợ.
- Mind­ez elkerülhetetlenül szükséges, válaszolá a félszemü doktor, és az egyesek szerencsétlensége az általános jólét forrása; igy aztán minél több bajuk van egyeseknek, annál nagyobb az általános jólét."	Nhà triết học chột mắt liền cãi lại: - Tất cả những sự kiện ấy đều là tối cần; những bất hạnh riêng biệt đã xây thành sự hữu hạnh của toàn thể; như vậy càng có nhiều sự bất hạnh riêng biệt bao nhiêu thì sự hữu hạnh công cộng càng hoàn thiện bấy nhiêu.
Mialatt filozófusunk igy elmélkedett, az ég elsötétült, a szélrózsa minden irányából hatalmas szél kerekedett és a hajót Lisszabon kikötője előtt rettenetes vihar támadta meg.	Trong khi Jacques đang lý sự thì gió lớn nổi lên tứ phía; con tàu gặp bão ghê gớm, khi gần tới hải cảng Lisbonne.
ÖTÖDIK FEJEZET.	Chương V
Vihar, hajótörés, földrengés; mi történt Pangloss doktorral,	BÃO TỐ, ĐẮM TÀU, ĐỘNG ĐẤT, KHIẾN CHO PANGLOSS, JACQUES VÀ CHÀNG NGÂY THƠ RA SAO
