ALEXANDRE DUMAS	Alexandre Dumas
Ez idő tájt mindenki értett a lovakhoz; és amikor az említett paripa megjelent Meung-ben - körülbelül negyedórája kocogott be a beugencyi kapun -, hatalmas szenzációt keltett, és ez nem kis mértékben kihatott lovasára is, mégpedig ugyancsak kedvezőtlenül, mivelhogy a paripa kiváló tulajdonságait remekül leplezte szabálytalan mozgása és furcsa szőrzete.	Và cái cảm giác ấy lại còn nặng nề hơn đối với chàng D artagnan trẻ tuổi (được mệnh danh là chàng Đông Kihôtê của con ngựa Rốtxirăngtê khác là vì như thế đến nỗi chàng chẳng hề giấu mình cái khía cạnh lố lăng đem đến cho chúng, dù chàng có là một kỵ sĩ cừ khôi đến mấy với con nghẽo như thế, cũng như chàng đã thườn thượt thở dài khi nhận món quà mà ông D artagnan bố đã ban tặng.
Tudván tudta, hogy az állat legalább húsz frankot ér: az is igaz, hogy a ló átadását kísérő szavak értéke fel sem becsülhető.	Vị quý tộc xứ Gascogne nói bằng thứ tiếng thuần Bearn mà Vua Henri IV chẳng bao giờ có thể nói khác nổi:
Amikor az udvarba jutsz - folytatta idősb D’Artagnan úr -, ha egyáltalában osztályrészül jut e kitüntetés (bár ősi nemességed erre teljes mértékben feljogosít), viseld becsülettel nemesi neved: becsülettel viselték őseid is ötszáz esztendőn át, érted is, a tiéidért is.	Tới triều đình - Ông D Artagnan bố nói tiếp - nếu có vinh dự đến đó, thật ra vinh dự thì dòng dõi quý tộc lâu đời của con đã cho con quyền đó rồi, hãy bảo vệ xứng đáng danh hiệu quý tộc của con, danh hiệu mà tổ tiên đã giữ nó một cách xứng đáng hơn năm trăm năm nay, hãy bảo vệ nó vì con và vì những người thân của con, ý cha muốn nói đấy là cha và bạn bè con.
Fiatal vagy, légy bátor két okból is; először, mert gascogne-i vagy, másodszor, mert a fiam vagy.	Đừng sợ những cơ hội và hãy tìm kiếm những cuộc phiêu lưu.
Ne ijedj meg az alkalomtól; keresd a kalandot.	Bố đã cho con học múa gươm.
Megtanítottalak a kardforgatásra; inad akár a vas, a csuklód acél; verekedj derűre-borúra; verekedj, már csak azért is, mert a párbaj tilos, tehát kétszeresen bátor, aki verekszik.	Con có khoeo chân sắt, cổ tay thép, hãy chiến đấu vào mọi lúc, các cuộc quyết đấu càng bị cấm đoán, do đó càng phải chiến đấu bằng gấp đôi lòng dũng cảm.
Anyád sem akar puszta kézzel elereszteni; tőle egy sebkötöző balzsam receptjét kapod; egy cigányasszonytól szerezte, csodálatos ereje van: minden sebet meggyógyít, kivéve a szív sérüléseit.	Mẹ con sẽ thêm vào đó cách chế một món thuốc cao học được của một bà Bôhêmiêng, có một công năng kỳ lạ chữa khỏi mọi vết thương không chạm vào tim.
Később Tréville úr másokkal verekedett első párizsi útján öt ízben; néhai jó királyunk halála és ifjú király urunk nagykorúsága között - háborúságot, ostromokat számba sem véve - hét ízben; attól fogva pedig a mai napig talán száz alkalommal is!	Từ eái chết của nhà Vua quá cố đến khi nhà Vua trẻ trưởng thành, không kể các cuộc chiến tranh và các cuộc vây thành, ông chiến đấu bảy lần, và từ khi nhà Vua trưởng thành đến nay, có lẽ tới trăm lần.
Ezért is lett belőle törvények, rendeletek és ítéletek ellenére, testőrkapitány; egy egész sereg ördögnek parancsol, igen nagyra tartja őket a király, és fél tőlük a kardinális úr, pedig az, mindenki tudja, nem ijed meg a saját árnyékától.	Vì vậy, mặc dầu những pháp lệnh, những chỉ dụ, những sắc lệnh thế mà thấy không, ông vẫn cứ là đại úy ngự lâm quân, có nghĩa là chỉ huy binh đội Céda mà nhà Vua chủ yếu dựa vào đó, còn Giáo chủ thì kiêng nể, vị Giáo chủ như mọi người đều biết, có kiêng nể điều gì đâu.
- Ő is úgy kezdte, mint te; keresd föl hát ezzel a levéllel, őt kövesd, járj az ő nyomdokain.	Hãy đến gặp ông cùng với bức thư này, và hãy noi gương ông để làm sao được như ông".
Azzal D’Artagnan úr fia derekára kötötte saját kardját, gyöngéden megcsókolta mindkét felől, és ráadta atyai áldását.	Tới đây, ông D Artagnan bố đeo thanh kiếm của mình, cho con trai, trìu mến ôm hôn chàng lên hai bên má và cầu phúc cho chàng.
A fiatalember kilépett apja szobájából; anyja már várta a híres recepttel; gondolhatjuk, hogy elég gyakran lesz rá szükség, ha a fiatalember megfogadja az imént hallott tanácsokat.	Rời khỏi phòng cha, chàng trai thấy mẹ mình đang đợi mình với phương thuốc trứ danh, theo lời dặn dò của ông bố sẽ luôn luôn cần đến cho chàng.
Ez a búcsúzás hosszabb és gyöngédebb volt, mint az előbbi, nem mintha D’Artagnan úr nem szerette volna a fiát, egyetlen magzatát, D’Artagnan úr azonban fiatalember volt, és úgy érezte volna, férfihoz méltatlan az elérzékenyülés; D’Artagnanné viszont csupán asszony, sőt anya.	Cuộc giã biệt ở đây lâu la hơn và trìu mến hơn "cuộc giã biệt" vừa rồi, chẳng phải vì ông D Artagnan bố không yêu con trai, kẻ nối dõi độc nhất của mình, nhưng ông ta là một người đàn ông và sẽ bị xem là không xứng đáng khi phó mặc mình cho cảm xúc, còn như bà D Artagnan, bà là đàn bà, hơn nữa là mẹ.
- Bőven hullatta könnyeit, és ifjabb D’Artagnan úrban, tegyük hozzá, dicséretére, bármint igyekezett is, hogy egy reménybeli testőrhöz méltó szilárdságot tanúsítson, felülkerekedett a természet, derekasan pergett szeméből a könny; alig felét sikerült kínos-keservesen lenyelnie.	Bà khóc sướt mướt, và phải khen chàng D Artagnan con, đã cố gắng để tỏ ra cứng rắn như một ngự lâm quân tương lai cần phải thế, nhưng bản năng cuốn chàng theo khiến nước mắt chàng lã chã tuôn rơi, khó khăn lắm mởi giấu đi được một nửa.
A fiatalember még aznap útnak indult, felszerelkezve a három atyai ajándékkal, vagyis, mint említettük, a tizenöt tallérral, a lóval és a Tréville úrnak szóló levéllel; amint helyesen gyanítjuk, a tanácsokat ráadásul kapta.	Cùng ngày hôm ấy, chàng trai trẻ lên đường mang theo ba tặng vật của cha như đã nói, gồm mười lăm đồng vàng, con ngựa và bức thư cho ông Treville, hơn nữa có cả những lời khuyên nữa.
Ezzel a vade mecummal birtokában D’Artagnan kívül-belül megszólalásig hű hasonmása volt a cervantesi hősnek; nem is volt szerencsétlen ötlet, hogy hozzá hasonlítottuk, amikor történetírói kötelességünk szerint arcképét papírra vetettük.	Với một hành trang như vậy, D Artagnan thấy mình về tinh thần cũng như thể xác, như một bản sao chính xác nhân vật của Xécvăngtéc mà ta đã đem ra so sánh một cách rất chi thích đáng, khi mà nhiệm vụ của một sử gia buộc chúng tôi cần thiết phải phác họa chân dung chàng.
Így aztán, mialatt Tarbes-tól Meung-ig ért, egyre-másra ökölbe szorította a kezét, és napjában tízszer is kardjához kapott; ökle mégsem ütközött össze az állkapocsokkal, és kardja sem került elő hüvelyéből.	Vì vậy, dọc đường từ Tarbes đến Măng, chàng luôn giữ chặt nắm đấm, và tay kia vì lý do này khác đặt lên đốc gươm đến mươi lần trong ngày, tuy nhiên nắm đấm chưa hề quai xuống hàm ai và gươm cũng không hề tuốt ra khỏi vỏ.
Nem mintha az istenverte sárga ló megjelenése nem ingerelte volna mosolygásra a járókelőket, de odafenn a magasban jókora kard csörömpölt a lovas oldalán, s a kard fölött büszke, sőt vad tekintet villogott - így hát a járókelők elnyomták derültségüket, vagy ha az minden elővigyázatosságuk ellenére mégiscsak előtört, legalább azon fáradoztak, hogy ókori álarcok módjára csupán fél képükkel nevessenek.	Không phải con nghẽo con màu vàng hãm tài kia không gây cười trên khuôn mặt khách qua đường, mà chính vì bên sườn con ngựa còi ấy còn lạch phạch một thanh gươm dài đáng nể, và bên trên long lanh con mắt nom có vẻ dữ tợn hơn là kiêu hãnh, khách qua đường vì vầy thường cố nén để không rũ ra cười, hoặc dù cẩn tắc cũng không nén nổi, cũng phải cố chỉ cười nửa miệng giống như nhửng vai hề cổ.
D’Artagnan érzékenysége és méltósága tehát csorbítatlan maradt, míg csak az átkozott Meung városába nem ért.	Cho nên D Artagnan vẫn đường đường oai phong, không sao trước cái tính nóng nảy cố hữu cho tới khi đến cái thị trấn Măng khốn khổ này.
D’Artagnan, szokása szerint természetesen azt hitte, róla folyik a szó, és hegyezni kezdte a fülét.	Theo thói quen, D Artagnan hoàn toàn tự nhiên tin rằng mình là đối tượng của câu chuyện và lắng nghe.
A nemes úr a ló tulajdonságait vette sorra hallgatói előtt, és mivel azok, mint már említettem, igen nagy tisztelettel követték előadását, sűrűn félbeszakították kacagásukkal.	Gã quý tộc như đang liệt kê cho đám người nghe tất cả các thuộc tính của con nghẽo và như vì đã nói, người nghe xem ra rất kính nể người kể chuyện, mỗi lúc họ lại phá lên cười.
Mégis, D’Artagnan mindenekelőtt szerette volna alaposabban szemügyre venni az illetőt, aki így pimaszkodni merészel vele.	Thế nhưng D artagnan trước hết muốn thấy rõ được bộ mặt của kẻ hỗn xược đang nhạo mình.
A térdnadrág és az ujjas, jóllehet vadonatúj mind a kettő, gyűrött, mint az úti ruhák, ha sokáig törődtek az utazó kosárban.	Quần ống túm và áo chẽn màu dù còn mới, lại có vẻ dầu dãi như những trang phục du hành xếp kín lâu trong valy lớn.
D’Artagnan történetesen épp abban a pillanatban szögezte a lila ujjast viselő nemes úrra tekintetét, amikor az a béarni lovacskáról szóló fejtegetéseinek legtudományosabb és legmélyrehatóbb részletéhez ért; két hallgatója ismét felkacagott, sőt, szokása ellenére, még ő maga is - ha szabad ezt a kifejezést használnunk - halvány tétova mosolyra húzta a száját.	Đúng lúc D Artagnan chăm chăm nhìn vào nhà quý tộc mặc áo chẽn tím, hắn ta đưa ra một nhận xét hóm hỉnh nhất và sâu sắc nhất về xứ sở của con nghẽo còi vùng Bearn, hai thính giả của hắn phá lên cười, còn bản thân hắn, trái với thói quen thường lệ, cũng để lộ cho mọi người thấy, lướt qua một nụ cười nhợt nhạt trên bộ mặt hắn.
Az, a kézzelfogható bizonyság hatására szemébe húzta baszk sapkáját, és miközben tehetségéhez képest igyekezett úgy mozogni, mint az udvaroncok, akiket nagynéha, ha, Gascogne-ba tévedtek, megfigyelhetett, a csoport felé indult: egyik kezével kardmarkolatát fogta, másikat csípőjén nyugtatta.	Vì thế, tin chắc như vậy, kéo mũ xuống tận mắt, và cố bắt chước một số điệu bộ trong chốn triều đình mà chàng bất ngờ bắt gặp ở những bậc vương công du hành qua vùng Gátxcông, chàng tiến lên, một tay đặt vào chuôi gươm và tay kia chống háng.
De sajna, minél közelebb került, annál jobban elvakította a harag, és jóllehet méltóságteljes és dölyfös szavakban készült megfogalmazni kihívását, mindebből csupán faragatlan és személyeskedő kirohanás tolult a nyelvére; dühösen hadonászva robbant ki:	Khốn nỗi, càng tiến lên, cơn giận mỗi lúc càng làm chàng thêm mù quáng, đáng lẽ phải có một khẩu khí trang trọng và kiêu hãnh mà chàng đã chuẩn bị để phô diễn sự thách thức của mình, chàng chỉ còn thấy nơi đầu lưỡi ngôn từ của một nhân cách thô lỗ kèm theo cách hành xử cuồng dại.
- Hé! uram!	- Này, ông kia!
- kiáltott fel - uram, maga, aki az ablak mögé, bújik!	- Chàng hét lên - Cái ông nấp sau cánh cửa sổ kia!
A nemes a paripáról lassan a lovasra emelte szemét, mintha időre volna szüksége, amíg megérti, hogy neki szól ez a furcsa támadás: mikor pedig látta, hogy semmi kétsége nem lehet, kissé összeráncolta szemöldökét, és meglehetősen hosszú szünet után, leírhatatlanul gúnyosan és pimaszul így válaszolt D’Artagnannak:	Nhà quý tộc chậm rãi đưa mắt nhìn từ con ngựa lên chàng kỵ sỹ, như thể cần phải có thời gian ấy để hiểu rằng những lời trách móc lạ lùng đến thế chính là dành cho mình, rồi không thể nghi ngờ gì nữa, đôi lông mày hơi cau lại, và sau khoảng lâu dừng lại, hắn ta trả lời D artagnan bằng một giọng mỉa mai và xấc xược không thể tả được:
- Nem magához szóltam, uram.	- Tôi không nói với ông, thưa ông.
- De én igen!	- Nhưng ta, ta nói với ông!
Az ismeretlen finom mosollyal figyelte még egy pillanatig, azután hátralépett az ablaktól, lassan kijött a fogadóból, és megállt D’Artagnantól két lépésnyire a ló előtt.	Thái độ bình tĩnh và vẻ mặt châm biếm của hắn càng khiến cho bọn người vừa chuyện trò với hắn, vẫn ở nơi cửa sổ cười to gấp đôi.
Nyugodt viselkedése és gúnyos arckifejezése csak fokozta a másik két férfi jókedvét; azok nem mozdultak el az ablaktól.	D Artagnan thấy hắn tiến đến, liền rút gươm nhích ra khỏi vỏ hơn một gang tay.
D’Artagnan, amint látta, hogy a nemes közeledik, egy lábnyira előhúzta hüvelyéből a kardját.	- Con ngựa này chắc chắn, hay đúng hơn lúc trẻ từng có màu vàng cúc áo.
- Aki a gazdától fél, az a lován nevet!	- Kẻ cười giễu con ngựa là kẻ không dám cười chủ nó!
- kiáltott fel tajtékozva Tréville tanítványa.	- Tôi thường không hay cười, thưa ông.
- Nem természetem a nevetés, uram - válaszolt az idegen -, ön is láthatja arcomon; mindazonáltal szeretném fenntartani magamnak a jogot, hogy akkor nevessek, amikor nekem tetszik.	- Kẻ lạ mặt tiếp - Tự ông, ông cũng có thể thấy như thế trên vẻ mặt của tôi, song tôi vẫn bảo lưu đặc quyền được cười khi tôi thích.
- Én pedig - kiáltott fel D’Artagnan - nem tűröm, hogy nevessenek, ha nekem nem tetszik!	- Còn ta - D Artagnan - ta không muốn người ta cười khi nó làm ta khó chịu.
- Valóban, uram?	- Thật thế ư, thưa ngài?
- folytatta az idegen, nyugodtabban, mint valaha - hát jó, igaza van.	- Kẻ lạ mặt tiếp tục với vẻ càng bình tĩnh hơn bao giờ hết - Thế thì, chí lí quá đi rồi?
Azzal sarkon fordult, hogy visszatérjen a fogadóba a nagykapun át, melynek boltíve alatt D’Artagnan egy felnyergelt lovat vett észre az imént, amikor megérkezett.	Rồi quay gót, hắn đang định trở vào lữ quán theo lối cửa lớn mà dưới cửa, khi D Artagnan đến đây đã thấy một con ngựa đóng sẵn yên cương.
D’Artagnant azonban nem olyan fából faragták, hogy elszalasszon valakit, aki ilyen pimaszul kigúnyolta.	Nhưng D Artagnan không phải loại dễ bỏ qua như thế với một kẻ đã hỗn xược chế nhạo mình.
- Forduljon vissza, szellemes úriember!	- Quay lại!
- Ledöfni engem!	- Đánh tôi, tôi ấy à?
- szólt amaz; sarkon fordult, és csodálkozva, de egyszersmind megvetően mérte végig a fiatalembert.	- Người kia vừa nói vưa quay gót lại nhìn chàng trai trẻ hết sức ngạc nhiên cũng như khinh bỉ - Chà, thế kia đấy.
- Ugyan már, fiacskám, maga bolond!	Ông bạn quý, anh điên rồi.
Azután halkan folytatta, mintha csak magában beszélne:	Rồi hạ giọng như thể nói với chính mình:
- Teringettét!	- Phiền thật.
Hogy örülne Őfelsége, ha ezt látná; tűvé teszi az egész országot, hogy bátor fickókból toborozza össze testőreit.	- Y tiếp tục - thế mà Hoàng Thượng cứ phải đi tìm những kẻ can trường ở những đâu đâu để trưng tuyển vào ngự lâm quân của ngài!
Még be sem fejezte, amikor D’Artagnan olyan dühödten döfött feléje, hogy ha fürgén hátra nem ugrik, minden valószínűség szerint ez lett volna utolsó tréfája életében.	Người lạ vừa nói dứt, D Artagnan đã vươn tay xỉa tới một mũi gươm thịnh nộ đến nỗi nếu không nhanh chân nhảy lùi lại, có lẽ đây sẽ ìà lần cuối cùng hắn được bông đùa.
Most már látta, hogy a dolog több mint egyszerű ugratás; kivonta kardját, üdvözölte ellenfelét, és komolyan védő állásba helyezkedett.	Người lạ mặt lúc đó thấy sự thể đã vượt qua trò nhạo báng, liền rút gươm ra chào địch thủ và nghiêm trang thư thế.
Ám a jelenet két szemtanúja, a fogadós kíséretében D’Artagnanra rohant, és bottal, tűzilapáttal, piszkavassal püfölni kezdték, ahogy csak erejükből kitellett.	Nhưng cũng đúng lúc ấy, hai thính giả của y, kèm theo chủ quán nhảy bổ vào D artagnan phang chàng bằng những đòn gậy, xẻng, và que gắp than.
Mindez oly gyors és tökéletes fordulatot eredményezett a támadásban, hogy D’Artagnan ellenfele, miközben a fiatalember visszafordult, és igyekezett elhárítani az ütések záporát, nyugodtan hüvelybe dugta kardját; hajszál híján színész lett már, de most ismét nézőként figyelte a csatát, szokott közönyével, és csak hébe-korba dörmögte a foga között:	Điều đó làm chệch hướng thật nhanh chóng, thật hoàn hảo cuộc tấn công, khiến cho trong khi D artagnan quay lại đối mặt với trận mưa đòn, đối thủ của chàng cũng tra gươm vào vỏ với cùng độ chính xác, và đang suýt là một diễn viên nay lại trở thành khán giả của trận chiến, một vai mà hắn rất thạo với vẻ bình thản thường tình của mình, tuy vẫn không ngớt làu bàu:
- Átkozott gascogne-iak!	- Cái giống Gascogne ôn dịch!
Rakjátok föl a citromsárga lovára, aztán hordja el magát.	Bê hắn lên con ngựa vàng cam của hắn và để hắn xéo đi.
- Csak ha megöltelek, gyáva kutya!	- Không trước khi ta giết mi đâu, đồ hèn!
- kiáltotta D’Artagnan, aki tőle telhetőleg verekedett, és tapodtat sem hátrált, miközben három ellenfele püfölte, ahol érte.	- D Artagnan vừa hét vừa đem hết sức đối địch, không lùi một bước trước ba kẻ thù, đang phang chàng túi bụi.
- Újabb gascogne-i hencegés - dörmögte a nemes úr.	- Lại một thói Gascogne !
- Szavamra, ezek a gascogne-iak javíthatatlanok!	- Nhà quý tộc lẩm bẩm - Ta thề đấy, lũ Gascogne này đều là lũ bất trị!
Hát, ha olyan táncolhatnékja van, csak húzzátok neki a talp alá valót.	Nó đã muốn vậy, cứ để nó tiếp tục múa may.
Néhány percig tehát még tartott a küzdelem; végül is D’Artagnan kifulladt, kiejtette a kezéből a kardját, melyet egy botütés nyomban kettőbe tört.	Cuộc đấu tiếp tục thêm mấy giây nữa, cuối cùng D artagnan kiệt sức để tuột gươm, một nhát gậy đánh gãy gươm làm đôi.
E pillanatban tódult be mindenfelől az előrerohanó tömeg a tett színhelyére.	Chính vào lúc đó, từ mọi phía người ta chạy đến nơi đang xảy ra chuyện.
A fogadós félt a botránytól, és legényeivel a konyhába cipelte a sebesültet; ott részesítették elsősegélyben.	Chủ quán sợ tai tiếng, với sự giúp đỡ của mấy gã hầu bàn, khiêng kẻ bị thương vào bếp, chăm sóc qua loa.
A nemes úr eközben ismét elfoglalta helyét az ablak mögött, és meglehetősen türelmetlenül figyelte a sokadalmat; szemlátomást erősen ingerelte a csődület.	Còn nhà quý tộc thì đã trở lại chỗ cũ bên cửa sổ nhìn đám đông ấy một cách bồn chồn, có vẻ như việc họ cứ đứng ỳ ra đấy làm cho hắn rất bực bội.
- Nos, hogy van az a futóbolond?	- Thế nào, thằng điên ấy ra sao rồi?
- kérdezte, amikor megcsikordult az ajtó, és a fogadós belépett, hogy az úr hogyléte felől érdeklődjön.	Hắn quay lại khi nghe tiếng cửa mở, hỏi chủ quán vừa bước vào thăm sức khỏe của hắn.
- Remélem, nem történt baja, excellenciás uram?	- Thưa đại nhân, ngài không sao chứ ạ?
- kérdezte vissza a fogadós.	- Chủ quán hỏi.
- Igazán?	- Hắn đang khá hơn.
- szólt a nemes.	- Thật thế ư?
- De mielőtt elájult volna, végső erejével excellenciádért kiáltott, hogy párbajra hívja.	- Nhưng trước khi ngất, hắn còn thu hết tàn lực réo tên ngài và vừa réo vừa thách thức ngài.
- No, ez a fickó maga az ördög!	- Thế thì cái gã táo tợn ấy đúng là quỷ hiện hình rồi.
- kiáltott fel az idegen.	- Ồ không!
- Úgy - szólott hidegen az ismeretlen -, akkor hát álruhás királyi herceg.	- Thế thì - Người lạ mặt lạnh lùng - hắn dòng dõi bậc hoàng thân nào đó cải trang.
- Csak azért mondom, nemes uram - folytatta a fogadós -, jó lesz, ha szemmel tartja.	- Thưa tôn ông, tôi nói với ngài điều đó - Chủ quán nói tiếp - là để ngài đề phòng.
- És dühében senkit nem emlegetett?	- Và trong cơn điên giận hắn không nói rõ tên ai?
- Tréville úr?	- Ông Treville ư?
- Egy levelet Tréville úrhoz, a testőrök kapitányához.	- Một phong thư gửi ngài De Treville, đại úy ngự lâm quân.
- Ejha!	- Thật vậy ư?
- Úgy igaz, ahogy mondani bátorkodom, excellenciás uram.	- Thưa đại nhân, đúng như tôi có vinh dự được nói điều đó với ngài.
- Mi az ördög!	- Quỷ thật!
- dörmögte a foga közt - Tréville uszította volna rám ezt a gascogne-it?	- hắn thầm thì qua kẽ răng - Treville chả nhẽ lại gửi đến ta tên Gátxcông này?
Néhány percen át az idegen hallgatott.	Người lạ trở nên trầm tư trong ít phút.
- Ugyan már, fogadós - szólalt meg aztán -, nem tudná félreállítani utamból ezt a vadembert?	- Này chủ quán - hắn nói - có phải ông sẽ không loại bỏ giúp ta cái tên cuồng loạn này?
Nem venném a lelkemre, hogy magam öljem meg; mindazonáltal - fejezte be dermesztő hanghordozással -, mindazonáltal terhemre van.	Trong thâm tâm, ta không thể giết hắn, thế nhưng - hắn thêm bằng vẻ đe dọa lạnh lùng - thế nhưng hắn chướng mắt ta lắm.
Hol van jelenleg?	Hắn đang ở đâu?
- Feleségem szobájában, az első emeleten: ott kötözgetik.	- Trong phòng vợ tôi - Người ta đang băng bó cho hắn ở tầng gác một.
- Tarisznyája, cókmókja vele van?	- Quần áo và bọc hành lý vẫn ở chỗ hắn chứ!
- Mindenét lent hagyta a konyhában, uram.	- Trái lại, tất cả đều ở dưới bếp.
De ha annyira a terhére van ez a fiatal féleszű...	Nhưng một khi tên nhãi rồ ấy làm phiền ngài...
- Terhemre bizony.	- Hẳn rồi.
Menjen kérem, állítsa össze a számlát, és szóljon az inasomnak.	Lên phòng ông đi, thanh toán mọi khoản cho ta, rồi bảo cho người hầu của ta.
- Uraságod máris távozik?	- Sao!
- Igenis, teljesítettük, s amint excellenciád láthatta is, a ló a kapuban áll, felszerszámozva, útrakészen.	Như đại nhân có thể thấy đấy, ngựa của ngài ở dưới cửa chính, tất cả đã sẵn sàng để lên đường.
- Jól van; tegye hát, amire kértem.	- Tốt lắm, hãy làm cái việc ta đã bảo ông đi.
- tűnődött a fogadós - úgy látszik megijed a sihedertől...	- Chủ quán tự nhủ - Chả lẽ ông ta lại sợ thằng nhãi?".
De az idegen parancsoló tekintete egy csapásra véget vetett a jelenetnek.	Nhưng một cái nhìn quyền thế của người lạ kia đã chặn đứng ngay chủ quán.
A fogadós alázatosan elköszönt és kiment.	Chủ quán khúm núm chào và đi ra.
Így morfondírozott az idegen, miközben a konyha felé tartott.	Giá như ta có thể biết bức thư gửi Treville nội dung thế nào?
Megmagyarázta neki, hogy meggyűlhet a baja a rendőrséggel, amiért belekötött egy ilyen előkelő uraságba, mert a fogadós véleménye szerint az idegen csakis nagy kutya lehetett; bármily gyenge volt is hát D’Artagnan, rábeszélte, hogy álljon talpra, és induljon tovább.	Thế rồi, ông ta giảng giải cho chàng hiểu rằng cảnh sát có thể gây phiền phức cho chàng vì chàng đã gây chuyện với một bậc đại thần, vì theo ý ông ta, người lạ mặt chỉ có thể là một vị đại thần, rồi ông ta thúc ép chàng dẫu còn yếu, cũng nên cố vùng dậy tiếp tụe cuộc hành trình.
Azonban alig lépett a konyhába, a szeme máris megakadt ellenfelén, aki nyugodtan beszélgetett egy hölggyel; egy nagy, tágas hintó ajtaja előtt állt; a kocsit két nehéz normandiai ló húzta a fogadó elé.	Nhưng vừa xuống tới bếp, vật đầu tiên chàng trông thấy chính là kẻ đã khiêu khích chàng, hắn đang bình thản nói chuyện ở bậc lên xuống của một cỗ xe nặng thắng hai con ngựa lớn nòi Normande.
Megjegyeztük már, milyen nyomozói fürgeséggel mért fel D’Artagnan egy-egy arckifejezést; most is első pillantásra megállapította, hogy a nő fiatal és szép.	Chúng ta đã từng nói tới khả năng nắm bắt diện mạo nhanh nhạy của D artagnan, nên vừa thoạt nhìn, chàng đã thấy ngay người đàn bà trẻ đẹp.
Szépsége annál inkább szemet szúrt neki, mert teljesen szokatlan volt számára; D’Artagnan sohasem látott ilyesmit délvidéki szülő­földjén.	Mà cái sắc đẹp ấy lại hoàn toàn xa lạ ở cái xứ sở phương Nam nơi chàng vẫn sống, càng khiến chàng bị choáng.
