Eugénie Grandet	Nguyên tác tiếng Pháp: Eugénie Grandet
Egy tiszta, takaros, üde fehér vállkendős, piros karú leányzó leteszi a kö­té­sét, és szólítja az apját vagy az anyját, aki menten ott terem, és - kinek milyen a természe­te - közönyösen, előzékenyen vagy pökhendien kiszolgálja a vevőt, akár két garas, akár húszezer frank a kért áru értéke.	Một cô gái sạch tươm, phơi phới tuổi xuân, cánh tay hồng, khăn trùm đầu trắng, khi trông thấy ta sẽ vội vàng bỏ chiếc áo đan dở, gọi cha hoặc mẹ ra; tùy tâm tính họ, họ sẽ bình thản, niềm nở hay kiêu kỳ mà bán hàng cho ta, dù ta mua hai vạn phơrăng hay chỉ mua hai xu cũng thế.
Ezen a vidéken, csakúgy, mint Touraine-ben, az időjárás szeszélyei határozzák meg az üzleti életet.	Nội trong một ngày, giá thùng có thể lên tới mười phơrăng, hoặc sụt xuống sáu phơrăng mỗi cái.
Állandó párbaj ez az ég és a földi érdekek között.	Quyền trời và lợi người luôn luôn xung đột.
A barométer hol gondokkal redőzi, hol kisimítja, felvidítja az ábrázatokat.	Cái phong vũ biểu làm cho họ khi thì buồn, khi thì nở mày nở mặt.
E szavak: "Aranyat ér ez az idő", Saumur régi főutcájának portái előtt gyakran hallhatók - és szó szerint értendők.	Ở đại lộ cũ, từ đầu phố đến cuối phố, hễ ai thấy thời tiết tốt thì từ nhà này đến nhà khác, họ quy giá thời tiết thành tiền.
Mindenről: vételről, eladásról, haszonról jó előre gondoskodván, a kereskedők olykor tizenkét órából tízet vidám szórakozással, szemlélődés­sel, évődéssel, perlekedéssel múlatnak el.	Ở phố ấy, bán, mua, lờ lãi, cái gì cũng được dự trù, cho nên cứ mỗi ngày mười hai giờ thì họ đã rỗi rãi đến mười giờ để ngồi lê, tán chuyện gẫu, phê bình, dòm dỏ công việc của người ta.
Az élet jobbára a szabad ég alatt zajlik: minden család kiül a kapu elé, ott ebédel, vacsorál, ott perlekedik.	Đời sống hầu như diễn ra giữa trời: mỗi gia đình bắc ghế ngồi ở cửa, ăn sáng, ăn chiều ở đấy, cãi nhau cũng ở đấy.
Grandet úr saumuri hírnevének okait és következményeit nem érthetik meg teljesen azok, akik nem vagy csak keveset éltek vidéken.	Nếu không kể tiểu sử ông ra đây thì không tài nào các bạn lĩnh hội ý nghĩa của mấy tiếng "nhà của ông Grangde" quen dùng ở tỉnh này.
Grandet úr - egyesek még Grandet apónak is nevezték, ámbár az ilyen aggastyánok száma rohamosan csökkent - 1789-ben jómódú kádármester volt, tudott írni, olvasni, számolni.	Ông Grangđê thì ở thị trấn Xomuya ai mà không biết tiếng, nhưng những người không ở lâu ở tỉnh khó lòng hiểu thấu đáo tại sao ông nổi tiếng như thế, và nổi tiếng như thế có ích lợi gì.
Amikor a Francia Köztársaság áruba bocsátotta a papság javait a saumuri járásban, a negyvenéves kádár épp a mézesheteket töltötte egy gazdag deszka­keres­kedő lányával.	Ông Grangđê - các cụ già còn có người gọi là bác Grangđê, nhưng các cụ ấy tịch đi đã nhiều - khoảng năm 1789 chỉ là một bác phó cả đóng thùng làm ăn khá giả, biết đọc, biết viết, biết tính.
Grandet magához vette minden mozgósítható pénzét, ez a hozománnyal együtt kétezer aranyra rúgott, s elment a járási hivatalba.	Khi chính phủ Cộng hòa bán đấu giá tài sản nhà chung thì bác thợ thùng lúc bấy giờ bốn mươi tuổi, vừa cưới con gái một ông lái gỗ giàu.
Mivel Saumur lakosai vajmi kevéssé voltak forradalmárok, Grandet apó vakmerő férfiúnak, republikánusnak, hazafinak számított, olyan szellemnek, aki az új eszmékért lelkesedik, pedig a kádármester egyszerűen csak a szőlőbirtokokért lelkesedett.	Dân Xomuya hiếm người theo cách mạng, cho nên bác Grangđê được xem là người táo bạo, là chiến sĩ Cộng hòa, là nhà ái quốc, là người tiếp thu tư tưởng cấp tiến, trong khi sự thật bác ta chỉ tiếp thu mấy cánh đồng nho.
Kinevezték a saumuri járás közigazgatási hatóságának tagjává, békéltető hajlama mind a politikában, mind a kereskedelemben hamarosan éreztette hatását.	Bác được bầu vào hội đồng hành chính quận Xomuya, và xu hướng ôn hòa của bác ảnh hưởng tới đường lối chính trị, thương mại quận nhà.
Politikai téren pártfogolta az arisztokratákat, és minden erejével azon volt, hogy el ne ár­verezzék az emigránsok javait; ami a kereskedelmet illeti, egy-kétezer harmadfél hektós hordó fehér bort szállított a köztársasági hadseregnek, amiért a fizetség nem maradt el, zsíros legelő­ket kapott jutalmul, amelyek egy - utolsóként feloszlatott - apácarend tulajdonában voltak.	Về mặt chính trị, bác ta che chở cho quý tộc, hết sức dùng quyền lực của mình ngăn trở việc phát mại tài sản của những người xuất cảnh; về mặt thương mại, bác ta thầu bán hàng nghìn thùng rượu vang trắng cho quân đội Cộng hòa, và được thanh toán bằng những cánh đồng cỏ bao la của một nữ tu viện, tức là lô đất mà người ta dành lại để bán sau cùng.
Már megépíttette, a város érdekében, a saját birtokaira vezető kifogástalan utakat.	Ông Grangđê rời bỏ những vinh dự của chức vụ thị trưởng không hề luyến tiếc.
Földjeinek besorolása óta szőlei - hála a gondos művelésnek - "kiemelkedtek", már­pedig ez a szakszó csak azokra a szőlőbirtokokra használatos, amelyeken a legjobb minőségű bor terem.	Từ cái ngày phân định đẳng hạng các cánh đồng nho ấy cho tới nay thì các cánh đồng nho của ông, vì được chăm sóc không ngớt, nên đã vượt lên địa vị "đầu xứ", nghĩa là sản xuất ra thứ rượu vang ngon nhất.
Akár a Becsületrend keresztjéért is folyamodhatott volna.	Việc ông Grangđê bị huyền chức xảy ra năm 1806.
Grandet úr ötvenhét esztendős volt ekkor, a felesége talán harminchat, egyetlen leányuk, törvényes szerelmük gyümölcse tíz.	Hai vợ chồng chỉ có một cô con gái mười tuổi, kết quả cuộc tình duyên chính đáng của hai ông bà.
Az örökségek értékét senki nem ismerte.	Ba cái gia tài ấy chẳng ai biết to nhỏ thế nào.
Mind a három vénség szenvedélyesen fösvény volt, hosszú ideje csak azért kuporgatta, rakosgatta halomba a pénzét, hogy titkon gyönyörködhessék benne.	Chỉ biết rằng ba cụ già đó là ba người keo kiệt lắm, keo kiệt say sưa, đã từ lâu họ chỉ ưa chất của cải để lén lút ngắm nghía.
Az öreg de la Bertellière úr a pénzbefektetést tékoz­lás­nak minősítette, az volt a véleménye, hogy az arany látványa többet ér, mint az uzsorahaszon.	Ông già Bectenlie cho rằng bỏ tiền ra cho vay lãi là tiêu hoang, ngồi nhà mà ngắm vàng lợi hơn là cho vay thu lãi.
Száz hold szőlőn gazdálkodott, jó években annyi bora termett, hogy hét-nyolcszáz kéthektós hordót is meg tudott tölteni.	Ông trồng một trăm mẫu nho, những năm được mùa thì có thể cất bảy tám trăm thùng rượu vang.
A tulajdonában volt tizenhárom major; egy régi apátság, amelyet úgy tett időállóvá, hogy csúcsíves festett üvegablakait befalaztatta; százhuszonhét hold rét, amelyen háromezer 1793-ban ültetett nyárfa nőtt és terebélyesedett.	Ông có mười ba trang ấp, một nhà tu cũ, mà ông bịt tất cả cửa sổ, cửa cuốn, cửa kính để khỏi đóng thuế và giữ của lâu bền hơn, rồi một trăm hai mươi bảy mẫu cỏ trên ấy sởn sơ ba nghìn gốc bạch dương trồng từ năm 1793.
Jóllehet az öreg Cruchot és des Grassins úr birtokában volt ama mélységes diszkréciónak, ami a bizalom és a siker forrása vidéken, mindketten oly nagy leplezetlen tisztelettel viseltettek Grandet úr iránt, hogy a megfigyelők az alázatos hódolatból következtethettek a volt polgármester vagyonának hatalmas voltára.	Mặc dù ông già Cruyso và ông Đe Gratxanh rất kín đáo, kín đáo là đức tính cần thiết ở tỉnh nhỏ để làm cho người ta được tín nhiệm và trở thành giàu có - hai ông này đối với ông Grangde lại có một thái độ sùng kính công khai, làm cho những kẻ tinh ý nhất có thể bằng theo thái độ ấy mà ước lượng ông Grangđê giàu đến mức nào.
Saumurben mindenki meg volt győződve róla, hogy Grandet úrnak van egy különleges kincses­kamrája, egy aranyakkal teli rejtekhely, ahol éjszakáról éjszakára annak a kimond­hatatlan gyönyörnek adja át magát, amit egy nagy halom arany látványa szerez.	Khắp thành phố Xomuya không ai không tin chắc rằng ông Grangđe có một kho riêng, một hầm kín chứa đầy tiền vàng mà đêm đêm ông vào ngắm với những khoái cảm không bờ bến.
A zsugoriknak a derék Grandet szeme szolgált bizonyítékul, amely mintha a sárga fénytől kapta volna a színét, csillogását.	Những người có tình hà tiện như ông Grangđe lại càng quả quyết như thế khi nhìn vào mắt ông ta.
Az olyan embernek a szeme, aki megszokta, hogy hatalmas hasznot húz a tőkéjéből (éppúgy, mint a kéjvágyóé, a szerencsejátékosé vagy a hízelgőé), óhatatlanul fölvesz bizonyos meghatározhatatlan szokásokat; lopva, mohón, rejtelmesen rebben, s ez nem kerüli el a hasonszőrűek figyelmét.	Cách nhìn bọn đầu cơ trục lợi cũng như cách nhìn của tay ăn chơi hưởng lạc, kẻ máu mê cờ bạc, hay lũ bợ đỡ cầu ân, thường có một vẻ riêng rất khó tả, với những tia sáng vụng trộm, thèm khát, bí ẩn, nhưng không tránh khỏi con mắt của phường đồng đạo.
Grandet urat tehát olyan tisztelet, becsület övezte, amely csak azt a férfit illeti meg, aki soha senkinek nem volt a lekötelezettje: öreg kádármester, tapasztalt szőlőbirtokos lévén, csillagá­szati pontossággal előre tudta, hogy ezer kéthektós hordót kell-e előkészítenie a szüretre, vagy csak ötszázat; egyetlen spekulációt sem hibázott el, mindig volt eladó hordója, ha a hordónak jobb ára volt, mint a bele való termésnek; a leszüretelt szőlőt el tudta helyezni a présházaiban, és kivárta a kedvező pillanatot, amikor kétszáz frankot kapott egy hordó borért - a kisbirto­kosok öt aranyért kínálták volt a magukét.	Tóm lại, ông Grangde được mọi người kính phục; kính phục vì ông ta không hề mắc nợ ai; kính phục vì đã đóng thùng lâu năm, trồng nho lâu năm, ông ta đoán được chính xác như một nhà thiên văn học lúc nào thì nên đóng một nghìn thùng rượu, lúc nào thì chỉ nên đóng năm trăm thùng thôi; kính phục vì ông ta không bỏ lỡ một cơ hội làm tiền nào; kính phục vì lúc nào ông ta cũng có thùng không để bán; khi thùng lại đắt hơn rượu; kính phục vì ông ta có thể biết lúc nào thì cứ cất rượu vào kho rồi chờ dịp bán mỗi thùng rượu hai trăm phơrăng, trong khi các nghiệp chủ nhỏ chỉ có thể bán được có một trăm.
1811-es híres termése, amelyet szép csöndesen leszüretelt és apránként adott el, több mint kétszáznegyvenezer frankot hozott a konyhájára.	Vụ được mùa năm 1811 là nhờ ông ta đã khôn khéo cất rượu của ông ta lại rồi cứ bán từ từ, do đó thu được hơn hai trăm bốn mươi nghìn phơrăng.
A pénzügyeken Grandet úr egyszerre volt tigris és óriáskígyó: mozdulatlanul meglapult, hosszan bűvölte áldozatát, rávetette magát; aztán szétnyitotta pénzes zacskójának torkát, elnyelt egy csomó tallért, és nyugodtan leheveredett, mint a kígyó, amikor emészt; érzéketlen volt, hideg, módszeres.	Về phương diện lý tài, ông Grangde vừa giống một con hổ, vừa giống một con trăn: ông biết cách nằm, cách thu mình lại, rình miếng mồi rất lâu và nhảy ra vồ đúng lúc, rồi há mõm túi tiền ra nuốt chửng một đống vàng, xong, lại nằm im lìm như con trăn đang tiêu hóa, thản nhiên, lạnh lùng, có thách thức.
Ha az utcán látták, az emberek tisztelettel és félelemmel vegyes bámulatot éreztek iránta.	Nhìn ông ta đi qua, không ai là không cảm thấy vừa thán phục, vừa kính nể, vừa khiếp sợ.
Hiszen Saumurben mindenkinek alkalma volt már megismerni azokat a finoman marcangoló acélkarmokat!	Ở cái tỉnh Xomuya này, dễ không ai không bị những vuốt thép trơn bóng của ông ta cấu xé!
Az egyik embernek Cruchot mester a rendelkezésére bocsátotta a birtokvásár­láshoz szükséges összeget, csakhogy tizenegy százalékos kamatra; a másiknak des Grassins úr leszámítolta a váltóit, de rettenetes kamatokat vont le már előre.	Người thì do ông Cruyso giúp tiền để mua ruộng đất nhưng lấy lãi mười một phân, người thì được ông Đê Gratxanh thanh toán ngân phiếu cho trước và khấu lãi một cách kinh khủng.
Nemigen telt el nap anélkül, hogy Grandet úr neve szóba ne került volna a piacon és a városban az esti beszélgetéseken.	Ít khi mà ở ngoài chợ hay buổi tối ở trong trong thành phố, trong câu chuyện, người ta không nhắc đến tên ông Grangde.
- Van ám itt, uram, két vagy három milliomos család, de ami Grandet urat illeti, még ő maga se tudja, mennyi a vagyona!	Năm 1816, những người tính toán giỏi nhất ở Xomuya ước lượng ruộng đất ông Grangde trị giá xấp xỉ bốn triệu.
Grandet apónak legalább öt-hatmilliója van.	Gia tài ông Grangde chắc phải đến năm sáu triệu!"
Egy párizsi a Rothschildokról vagy Laffitte uraságról beszélt?	Tôi không làm thế nào kết toán được gia tài ông ta.
Ha a párizsi lenéző mosollyal igenlően felelt, a saumuriek a fejüket csóválva hitetlenkedve néztek össze.	Nếu anh chàng Pari mỉm cười nói "có" một cách khinh thường, thì họ nhìn nhau lắc đầu, vẻ không tin.
Grandet apó sohasem vásárolt húst, kenyeret.	Ông Grangde không bao giờ mua bánh, mua thịt.
A bérlői fizetség gyanánt elegendő kappannal, csirkével, tojással, vajjal, gabonával látták el hetente.	Hàng tuần, tá điền đem nộp tô cho ông một số gà thiến, gà tơ, bơ, trứng và lúa mì đủ dùng.
Volt egy malma, amelynek a bérlője - a bérleti díj folyósításán kívül - köteles volt egy bizonyos mennyiségű gabonát elfuvarozni, és visszaszármaztatni a korpát és a lisztet.	Ông có một máy xay gió; người lãnh thầu máy xay, ngoài tiền thuê, phải đến nhà ông mang một số lúa mì về xay rồi đem bột và cám tới trả.
Egyetlen szolgálója, a hosszú Nanon, jóllehet nem volt már fiatal, maga dagasztotta, sütötte minden szombaton a kenyeret a ház népének.	Người ở độc nhất trong nhà, mụ Nanong hộ pháp, mặc dù đã luống tuổi, vẫn cứ đến thứ bảy là làm đủ số bánh mì cho cả nhà ăn trong tuần tới.
Gran­det úr úgy állapodott meg konyhakertész bérlőivel, hogy azok szállítják neki a zöldségfélét.	Về rau thì ông Grangde thương lượng với các chủ giồng rau trên đất thuê của ông để họ cung cấp.
Ami a gyümölcsöt illeti, annyit szüretelt a saját fáiról, hogy a termés nagy részét a piacra vitette.	Còn quả thì ông thu hoạch nhiều lắm, phải đưa ra bán phần lớn ở chợ.
Tűzifát a sövényeiből meg a szántóföldjeit szegélyező elvadult, félig elkorhadt kis­erdők­ben vágatott; a felhasogatott fát a bérlői szekéren, taligán befuvarozták a városba, szívességből berakták a fáskamrába, s ezért köszönetet kaptak.	Củi đốt, ông cho chặt ở hàng giậu hay các lùm cây khô mục quanh mấy cánh đồng gần nhà; tá điền cưa bổ sẵn sàng rồi chở đến cho ông, xếp giúp ông ở chỗ củi xong thì nhận lời cảm ơn của ông mà về.
Nem költött egyébre, csak a szentelt ostyára, a felesége és a leánya ruházkodására és templomi ülőhelyeinek bérletére, a világításra, a hosszú Nanon bérére, serpenyőinek az ónozására, adózásra, az épületek tatarozására és a gazdaság üzemeltetési költségeire - másról senki sem tudott.	Như thế ông chỉ phải bỏ tiền tiêu về các khoản bánh thánh, ghế tựa ở nhà thờ và quần áo cho bà Grangde và cô con gái, dầu đèn, tiền công mụ Nanong, tiền mạ xoong nồi, tiền đóng thuế, tu bổ nhà cửa và các khoản chi phí canh tác.
Nemrégiben vásárolt hatszáz hold erdejét egyik szomszédja erdőkerülőjével őriztette: a szomszédnak költség-hozzájárulást ígért.	Ông mới mua sáu trăm mẫu rừng và gửi cho người kiểm lâm của một nghiệp chủ láng giềng canh giữ, hứa sẽ trả thù lao cho anh ta.
Vadat csak azóta evett, mióta erdeje volt.	Cũng chỉ từ lúc ấy nhà ông mới có thịt rừng.
Grandet úr igen egyszerű ember volt.	Ông Grangde tác phong giản dị.
A forradalom óta, amikor is magára vonta a figyelmet, a jóember elviselhetetlenül dadogott, valahányszor hosszasan társalognia vagy vitáz­nia kellett.	Từ thời Cách mạng, mà người ta bắt đầu để ý đến ông, cho tới nay, thì những khi phải nói nhiều hoặc tranh luận ông nói lắp bắp một cách khó nhọc.
Hebegését, összefüggéstelen beszédét, szóáradatát, amelybe belefúltak a gondolatai, a logika szembeötlő hiányát műveletlenségének tulajdonították, holott mindez - mint történetünk néhány eseménye kellőképpen bizonyítja majd - színlelés volt.	Cái tật là cà lặp cặp ấy, cái cách phát biểu lôi thôi không mạch lạc, cái lối trình bày rõ ràng là không hệ thống, không lý luận ấy người ta cho là vì vô học, thật ra đều là vờ vịt cả; vài sự việc sau sẽ chứng tỏ điều đó.
Sohasem mondott határozott igen-t vagy nem-et, semmit se adott írásba.	Chả bao giờ ông dùng tiếng vâng hay tiếng không và cũng không viết giấy tờ.
Hosszasan eltöp­rengett a legapróbb üzleti ügyén is... Egy-egy körmönfont tárgyalás végeztével, amikor ellen­fele abban a hiszemben, hogy a markában tartja Grandet-t, felfedte előtte a kártyáit, ő így válaszolt:	Qua những cuộc trao đổi rất khôn khéo, khi đối phương đã tiết lộ những ý đồ thầm kín của mình mà tưởng rằng ông vẫn chưa biết, thì ông bảo:
- Nem dönthetek, előbb meg kell beszélnem a feleségemmel.	"- Tôi chưa quyết định được gì vì chưa có ý kiến của nhà tôi".
A feleségét a legteljesebb tudatlanságban tartotta, de üzleti ügyekben az asszony volt a leg­kényel­mesebb fedezéke.	Ông Grangde đã biến bà vợ thành người nô lệ hoàn toàn nhưng khi có việc mua bán, ông lại mang bà ra làm một bình phong vô cùng tiện lợi.
Olyan állhatatosan tisztelte a magántulajdont, hogy hozzá se nyúlt más holmijához.	Ông không động đến cái gì của người ta, vì ông luôn luôn tôn trọng tư hữu.
Bár hangja szelíd volt és viselkedése megfontolt, beszéde és szokásai elárulták kádármester voltát, főleg otthon, ahol kevésbé fegyelmezte magát, mint bárhol másutt.	Mặc dù giọng ông nhỏ nhẹ, dáng ông thận trọng, nhưng ngôn ngữ và tập quán bác phó thùng vẫn cứ lộ ra, nhất là khi ông ở nhà, không phải giữ gìn như ở những chỗ khác.
Külsejére nézve Grandet öt láb magas, zömök, erős ember volt, a lábikrájának kerülete tizen­két hüvelyk, a térde göcsörtös, a válla széles, kerek arca napbarnított és ragyás; az álla szög­letes, feszes ajka egyenes vonalú, foga fehér; szemében olyan nyugodt ragadozókifejezés ült, amilyent a baziliszkuszénak tulajdonít a nép; vízszintes ráncokkal barázdált homlokán sokatmondó dudorok voltak; "ezüst és arany" - mondta őszbe vegyülő sárgás hajáról néhány fiatalember, aki még nem tudta, milyen rossz vége lehet a Grandet úr rovására megeresztett tréfának.	Về hình dáng, Grangde cao hơn một thước sáu, to ngang, vuông vức, vai rộng, vòng bắp chân đến bốn tấc, đầu gối có u có khúc, mặt tròn trịa rám nắng, rỗ đậu mùa, cằm thẳng, môi dầy, răng trắng; đôi mắt vừa tỉnh táo vừa thao láo như muốn nuốt sống người ta, giống như mắt con rắn thiêng trong thần thoại; trán đầy nếp răn ngang và những cục u tiêu biểu cho tâm tính con người; tóc vàng vàng lại lốm đốm trắng khiến cho một số thanh niên không biết đùa cợt ông Grangde là chuyện tày trời, bảo đầu ông có vàng có bạc.
Bunkós orrán eres bibircsók éktelenkedett, amelyről a közvélemény, nem éppen ok nélkül, azt tartotta, hogy tele van gonosz kajánsággal.	Chóp mũi ông khá to và hằn gân máu, bọn phàm tục bảo đấy là dấu hiệu của sự ranh mãnh, và chừng như cũng đúng.
Viselkedése, modora, testtartása, egész lénye olyan magabiztosságról tanúskodott, amely azoknak az embereknek a sajátja, akik minden vállalkozásukban sikerrel jártak.	Tất cả cái gì toát ra ở người ông ta, từ tác phong, cử động cho tới dáng đi đều nói lên cái lòng tự tin của con người luôn đắc thắng.
Grandet úr könnyen kezelhetőnek és befolyásolható­nak látszott, valójában egyénisége a bronz keménységével vetekedett.	Bởi vậy, tuy bề ngoài, trông ông có vẻ dễ dãi xuề xòa, mà bên trong tính tình ông cứng rắn như sắt.
Mindig egyformán öltözködött, ruhája ma éppolyan volt, mint 1791 óta bármikor. Erős cipőjét bőrzsineggel fűzte össze; minden időben vastag gyapjúharisnyát hordott, durva szövésű, barna posztóból készült térdnadrágot ezüstcsattal; sárga-sötétbarna csíkos négygombos mellényt, széles szárnyú, bő, barna kabátot, fekete nyakkendőt és kvékerkalapot.	Xưa nay ông vẫn ăn mặc một kiểu, ai biết ông năm 1791 bây giờ gặp lại vẫn thấy không khác xưa: đôi giầy chắc nịch vẫn buộc dây da, bốn mùa vẫn tất len, quần chẽn bằng da nâu xấu với những khâu bạc ở gấu, gile nhung có sọc vàng và sọc nâu xen nhau, cài cúc thẳng hàng, áo nâu rộng vạt to, cà vạt đen, mũ vành rộng.
A kesztyűjét, amely olyan tartós volt, mint a csendőröké, húsz hónapig viselte, és hogy tisztaságát óvja, mindig gondosan kalapja karimájának ugyanarra a részére fektette.	Găng tay ông bền như găng sen đầm, dùng một thôi hai mươi tháng chưa hỏng; để giữ găng sạch sẽ, khi cởi ra ông cử động có cung cách, đặt nó lên vành mũ bao giờ cũng đúng ở một chỗ.
Mindössze hat lakos léphetett be Grandet úr házába.	Nhà ông Grangde chỉ có sáu người có quyền lui tới.
Az első három közül a legtekintélyesebb Cruchot úr unokaöccse volt.	Trong bộ ba thứ nhất, nhân vật quan trọng hơn hết là người cháu ông Cruyso.
Amióta kinevezték a saumuri első fokú bíróság elnökévé, a fiatalember a Cruchot mellé felvette a Bonfons nevet, és azon iparkodott, hogy a Bonfons a Cruchot fölébe kerekedjen.	Từ khi được cử làm chánh án tòa án sơ cấp Xomuya, người thanh niên ấy ghép tên Đơ Bongphong vào tên Cruyso và cố sức làm cho tên Đơ Bongphong át hẳn tên Cruyso đi.
A nevét már így írta alá: C. de Bonfons.	Chàng ta đã ký C. Đơ Bongphong.
Az a peres fél, aki nem ismervén a dürgést, meggondolatlanságában "Cruchot úr"-nak találta nevezni, már a tárgyalás kezdetén ráébredhetett ostobaságára.	Người hầu kiện nào vụng về trót gọi "Ông Cruyso" trong khi thưa bẩm, đến khi ra phiên tòa mới biết mình trót dại mồm.
A bíró azoknak kedvezett, akik "elnök úr"-nak tisztelték, s a legkegyesebb mosolyával csak ama hízelkedőket jutalmazta meg, akik "de Bonfons úr" megszólítással illették.	Ông quan tòa ấy che chở cho những người thưa: "Bẩm quan chánh án", nhưng ông dành những nụ cười ân cần nhất cho những kẻ tôn nịnh, một rằng "Ngài Đơ Bôngphong" hai rằng "Ngài Đơ Bongphong".
A három Cruchot, aki számos rokon támogatását élvezte, és aki a város húsz családjával volt sógor­ságban-komaságban, párttá szervezkedett, mint hajdan Firenzében a Medicik; és miként a Mediciknek, a Cruchot famíliának is megvoltak a maguk Pazzijai.	Ông sẽ còn được hưởng gia tài của ông chưởng khế và gia tài của ông linh mục, chức sắc trong hội đồng giáo sĩ Xanh Mactanh ở tỉnh Tua, cả hai đều là chú ông và đều giàu có.
