ĐỎ VÀ ĐEN (Tập 1)	Vörös és fekete
Những bức tường bậc thang chắn giữ cho các khoảnh của khu vườn tráng lệ kia, tầng tầng bậc bậc xuống tận bờ sông Doubs, cũng là phần thưởng của cái khoa tài giỏi của ông de Rênal trong nghề buôn sắt.	A bástyaszerű falak, melyek támasztékáúl szolgálnak a nagyszerű kert egyes részeinek, a hogy’ terraszról-terraszra lépcsőzetesen ereszkedik alá egész a Doubs-ig, szintén de Rênal úrnak a vaskereskedésben való jártasságát jutalmazzák.
Những thửa vườn của ông de Rênal, chi chít những tường, lại còn được thiên hạ thán phục vì ông đã tậu đắt như vàng một số những khoảnh đất của khu vườn đó.	De Rênal úr kertjét, a mellett, hogy tele van falakkal, még azért is csodálják, hogy egypár kis területet, a mely beléje tartozik, aranynyal mért föl.
Chẳng hạn, cái máy xẻ gỗ, mà vị trí đặc biệt trên bờ sông Doubs đã làm cho bạn phải chú ý khi bước chân vào Verrières, và ở đó bạn đã để ý nhận thấy cái tên Sorel, viết bằng chữ đại tự trên một tấm ván dựng chót vót trên mái nhà; cái máy xẻ đó, sáu năm trước đây, đặt ở khoảnh đất trên đó hiện nay người ta đương cất bức tường của tầng thứ tư của khu vườn nhà ông de Rênal.	Így példáúl az a fűrészmalom, melynek a Doubs partján való különös elhelyeződése legelsőbben ötlik szemébe a látogatónak, a ki Verrières-be jön és a melynek tetején egy hosszú deszkán óriási betűkkel olvasható ez a név: SOREL - hat év előtt még ott állott, a hol most de Rênal úr kertjében a negyedik terrasz fala emelkedik.
Mặc dầu kiêu hãnh, ông thị trưởng đã phải cậy cục nhiều lần với lão Sorel, một lão thôn dân hắc búa và ương ngạnh, ông đã phải xỉa ra cho lão những đồng louis vàng đẹp nõn để được lão chịu di chuyển nhà máy của lão đi nơi khác.	Minden büszkesége ellenére a polgármester úrnak ugyancsak sok utánjárásába került, a míg levehette lábáról az öreg Sorel-t, ezt a rideg, nyakas parasztot; sok szép aranyat kellett leolvasnia neki, a míg rábírta, hogy máshova helyezze át műhelyét.
Còn cái dòng suối công cộng nó làm chạy máy cưa, thì ông de Rênal, nhờ có thế lực ở Paris, đã xin được phép khơi cho nó chảy đi hướng khác.	A mi a köztulajdonban levő vízágat illeti, mely a malmot hajtotta, de Rênal úr befolyásának sikerült kivívnia Párisban, hogy azt más mederbe vezették.
Ông đã được cái đặc ân đó sau cuộc tuyển cử năm 182...	Ezt a kegyet az 182*-iki választások után nyerte el.
Ông đã đổi cho lão Sorel, bốn sào ăn một, ở cách năm trăm bước về phía dưới, trên bờ sông Doubs.	Egy hold helyett négy holdat adott Sorel-nek, ötszáz lépéssel odább a Doubs mentén.
Và mặc dầu vị trí này còn lợi hơn rất nhiều cho nghề buôn bán gỗ thông xẻ ván của lão, nhưng ông cụ Sorel, như người ta gọi lão từ khi lão phát tài, đã biết mánh khóe lợi dụng sự nôn nóng và thói sính làm sở hữu chủ của ông láng giềng, đã kiếm được món tiền 6.000 quan.	És bár ez a hely sokkal előnyösebb volt a fenyődeszkákkal való kereskedésre, Sorel apó - a hogy’ azóta nevezték, a mióta meggazdagodott - mégis módját ejtette, hogy a türelmetlenségből és a birtoklási rögeszmé-ből, mely szomszédját hevítette, még hatezer francot csiholjon ki.
Quả đáng tội, cuộc điều đình ấy đã bị những người đầu óc tốt ở vùng đó chê trách.	Igaz, hogy a környék egyes emberei élesen bírálgatták ezt az adás-vételt.
Có một lần, hôm đó là ngày chủ nhật cách đây bốn năm, ông de Rênal, bận trang phục thị trưởng ở nhà thờ về, trông thấy từ xa lão Sorel với ba đứa con trai của lão đi chung quanh, lão nhìn ông mà tủm tỉm cười.	Egyízben, négy év előtt, egy vasárnapi napon de Rênal úr, épp mikor polgármesteri egyenruhájában a templomból jött, megpillantotta, a mint az öreg Sorel, a ki három fiával álldogált, messziről mosolyogva néz reá.
Nụ cười đó đã rọi một tia sáng chết người vào tâm hồn ông thị trưởng, từ lúc đó ông nghĩ rằng đáng lẽ ông có thể đổi chác được rẻ hơn.	Ez a mosoly kellemetlen világosságot gyújtott a polgármester úr lelkében; azóta azt hiszi, hogy olcsóbb áron is nyélbeüthette volna a vásárt.
Muốn được thiên hạ trọng vọng ở Verrières, điều chủ yếu là tuy xây cất rất nhiều tường, nhưng không được xây dựng theo một cái đề án nào đó du nhập từ nước Ý sang, do những bọn thợ nề cứ đến mùa xuân là đi xuyên qua những đường hẻm núi Jura để lên Paris.	Ha az ember Verrières-ben tekintélyre akar szert tenni, fődolog, hogy sok falat építtessen ugyan, de semmiesetre se fogadjon el valami olaszországi tervet, a milyet azok a kőművesek hoznak magukkal, kik tavaszszal átkelnek a Jura szorosain, hogy Párisba menjenek.
Một việc làm cách tân như vậy sẽ khiến cho kẻ xây dựng dại dột đời đời mang tiếng là đầu óc xấu, và kẻ đó sẽ vĩnh viễn mất giá trị bên cạnh những người thức giả và ôn hòa, họ ban phát sự trọng vọng ở Franche-Comté.	Az ily újítás örök időkre a könnyelműség hírébe keverné a meggondolatlan építkezőt és mindenkorra veszve volna ama bölcs és mérsékletes emberek szemében, a kik Franche-Comté-ban a megbecsűlést osztogatják.
Trong thực tế, những người thức giả đó thi hành ở xứ này một cái quyền chuyên chế phiền hà nhất, chính vì cái danh từ bỉ ổi đó mà sự lưu trú ở các thành phố nhỏ thật không sao kham nổi đối với ai đã sống trong cái nước cộng hòa lớn gọi là Paris kia.	Valójában, ezek a bölcs férfiak ott a legborzasztóbb zsarnokságot gyakorolják és ez a csúnya szó az oka, hogy a kisvárosokban való élet elviselhetetlen azoknak, a kik abban a nagy köztársaságban éltek, melynek Páris a neve.
Sự áp chế của dư luận, mà dư luận nào có ra gì?	A közvélemény - és még mily közvélemény!
Dù là ở những thành phố nhỏ nước Pháp hay ở Hợp-Chủng-Quốc Châu Mỹ, thì cũng thô bạo chẳng kém gì nhau.	- kényuralma Francziaország kisvárosaiban épp oly buta dolog, mint az amerikai Egyesült-Államokban.
MỘT ÔNG THỊ TRƯỞNG	EGY POLGÁRMESTER.
Thưa ngài, không có nghĩa gì à?	És a tekintély, uram, a tekintély!
Nó có nghĩa là những kẻ ngu dại phải kính nể, con trẻ phải ngẩn ngơ, thán phục, kẻ giàu có phải thèm muốn, người thức giả phải khinh bỉ.	Az ostobák tisztelete, a gyermekek bámészkodása, a gazdagok irígykedése, a bölcs megvetése - mindez semmi?!
BARNAVE	Barnave.
Thật may mắn cho tiếng tăm của ông de Rênal trong chức nghiệp quan cai trị, là cần thiết phải có một cái tường chắn dài mênh mông cho con đường dạo chơi công cộng đi men theo chân đồi, cao hơn mặt sông Doubs một trăm pied.	De Rênal úr közigazgatási tekintélyének szerencséjére szükségessé vált egy nagy fal megépítése, támasztékáúl a városi sétánynak, mely száz lépésnyire a Doubs fölött húzódik a domboldalon.
Nhờ ở vị trí tuyệt vời đó mà đi trên con đường kia người ta được thưởng ngoạn một phong cảnh kỳ thú vào bậc nhất của nước Pháp.	Gyönyörű fekvése miatt Francziaországnak egyik legfestőibb kilátása nyílik innen, csakhogy az eső minden tavaszszal föláztatta a talajt, tócsákat vájt benne és járhatatlanná tette.
Điều bất tiện đó, mà tất cả mọi người đều cảm thấy, đặt ông de Rênal vào sự cần thiết may mắn phải bất tử hóa công cuộc cai trị của ông bằng một bức tường cao hai chục pied và dài khoảng ba bốn chục toise .	Ez a kellemetlenség, a mit mindenek éreztek, abba a szerencsés kényszerűségbe juttatta de Rênal urat, hogy hivataloskodásának egy húsz láb magas és harmincz vagy negyven öl hosszú fallal örökítse meg az emlékét.
Bức lan can của cái tường đó, ông de Rênal đã vì nó mà phải ba lần đi Paris, vì ông bộ trưởng Nội vụ trước đây hai khóa đã ra mặt là kẻ tử thù của con đường dạo chơi ở Verrières.	E fal, mely miatt de Rênal úrnak háromszor kellett Párisba utaznia, mert a mostanit megelőző belügyminiszter halálos ellensége volt a verrières-i sétánynak, már három lábnyira emelkedik a föld színe fölé.
Và như để đương đầu với tất cả các ông bộ trưởng hiện tại cũng như quá khứ, lúc này người ta đương lát nó bằng đá khối.	És mintegy daczoló szándékkal az összes volt és leendő miniszterekkel szemben, most sietve faragott kőkoczkákkal borítják.
Biết bao lần, mơ tưởng đến những cuộc khiêu vũ của Paris vừa rời bỏ hôm trước, và ngực tì lên những khối đá màu xám đẹp phơn phớt xanh lam, tôi đã dõi mắt nhìn xuống lưu vực sông Doubs!	Hányszor nem álltam az alig pár napja odahagyott párisi bálokra gondolva, nekitámaszkodva e kékes árnyalatú, szép szürke színű nagy köveknek, mialatt tekintetem belemélyedt a Doubs völgyébe!
Bên kia, trên tả ngạn, vòng vèo năm sáu thung lũng, trong lòng thung lũng trông thấy rất rõ những dòng suối nhỏ.	Túlnan, a jobbparton, öt vagy hat völgy kígyózik, a melyek fenekén a szem egész tisztán látja a kis csermelyeket.
Sau khi chảy hết thác này đến thác nọ, ta trông thấy chúng nó đổ vào sông Doubs.	Miután zuhatagról-zuhatagra szaladtak, látni, a mint beleszakadnak a Doubs-ba.
Trong vùng núi này mặt trời rất nóng, khi đứng bóng, giấc mơ màng của du khách được che chở trên con đường cao đó bởi những cây phong tráng lệ.	A nap nagyon forrón süt a hegyek között; mikor legjobban tüzel is, az utas álmodozása védelmet talál a hatalmas platánok lombsátora alatt.
Những cây đó lớn rất nhanh và chùm lá sum suê của nó phơn phớt màu lam, đó là nhờ ở chất đất đào mà ông thị trưởng đã cho đắp phía sau bức tường chắn mênh mông của ông, vì mặc dầu sự phản đối của hội đồng thành phố, ông đã mở rộng con đường du ngoạn hơn sáu pied (dù ông thuộc phái bảo hoàng và tôi thuộc phái tự do, tôi cũng khen ông về điểm đó) , vì vậy cho nên theo ý kiến của ông và của ông Valenod, vị giám đốc sung sướng của viện tế bần ở Verrières, con đường cao này có thể so sánh được với nền cao Saint-Germain-en-Laye .	Gyors növésüket és kékes árnyalatú gyönyörű zöldjüket annak a földnek köszönhetik, a mit a polgármester úr a nagy támasztó fal mögé hordatott, és mivel, noha a városi tanács ellene nyilatkozott, hat lábnyival kiszélesítette a sétányt, a miért (jóllehet ő reakcionárius, én pedig liberális vagyok) dicsérem is, és igazat kell adni úgy ő neki, mint Valenod úrnak, a verrières-i szegényház szerencsés igazgatójának, hogy a terrasz kiállhatja az összehasonlítást a laye-i Saint-Germain-félével.
Về phần tôi thì tôi chỉ thấy có mỗi một điều đáng trách ở con Đường Dạo Trung Thành đó, cái danh từ chính thức này, người ta đọc thấy ở mười lăm, hai mươi chỗ, trên những tấm biển bằng đá hoa, đã đem lại cho ông de Rênal thêm một huân chương nữa; điều mà tôi muốn trách con Đường Dạo Trung Thành đó, là cái cách thô bạo mà nhà chức trách đã cho xén và gọt nhẵn thín những cây phong khỏe khoắn kia.	A magam részéről csak egy kifogással illethetem a "Hűség útjá"-t, mert tizenöt-húsz helyen is olvashatjuk a sétány e hivatalos nevét, márványtáblákon, a melyekért de Rênal úr külön érdemjelet kapott.
Đầu thấp lè tè, tròn và dẹt, giống như loài rau cỏ tầm thường nhất.	Rossz néven veszem a Hűség útjától a barbárságot, a mivel a hatóság megnyesi, szinte tövig nyírja a terebélyes platánokat.
Đáng lẽ để cho chúng có những hình dáng tráng lệ như những cây phong người ta thấy ở nước Anh, có phải hay biết bao nhiêu.	A helyett, hogy alacsony, kerek és lelapított koronájukkal a legközönségesebb cserepes növényekhez hasonlítanának, oly nagyszerűekké kellene fejlődniök, a milyeneket Angliában lát az ember.
Nhưng ý muốn của ông thị trưởng thật là chuyên chế và cứ mỗi năm hai lần, tất cả những cây cối thuộc quyền sở hữu của thị xã đều bị cắt xén không chút thương tình.	Ám a polgármester úr akarata nem tűr ellenkezést és évente kétszer könyörtelenül megnyirbáltatja a község tulajdonában levő fákat.
Những người theo phái tự do của địa phương cho rằng, nhưng họ nói quá đấy thôi, bàn tay gã coi vườn của nhà nước đã trở nên nghiêm khắc hơn nhiều, từ khi ông trợ tế Maslon có thói quen chiếm thủ những sản phẩm của cuộc cắt xén.	A környékbeli liberálisok azt állítják, némi túlzással azonban, hogy a mióta Maslon vikárius úr haza szokta takarítani a nyírás eredményét, a hivatalos kertész jóval nagyobb szigorúsággal kezeli az ollót, mint azelőtt.
Nhà tu sĩ trẻ tuổi đó được phái từ Besancon đến, cách đây mấy năm, để theo dõi cha Chélan và một vài cha xứ quanh vùng.	Ezt a fiatal papot néhány év előtt küldték ide, azzal a föladattal, hogy ellenőrizze Chélan abbét és a környék egynémely plébánosát.
Một thiếu tá quân y già của đạo quân chinh phạt Ý về trí sĩ ở Verrières, và hồi còn sinh thời, theo lời ông thị trưởng, vừa thuộc phái Jacobins lại vừa có khuynh hướng phò Bonaparte, có một hôm dám phàn nàn với ông về sự cắt hại chu kỳ những cây cối đẹp kia.	Egy öreg tábori sebész, a ki az olaszországi hadseregben töltött szolgálati évei után Verrières-be vonúlt vissza és a ki, a polgármester úr szava szerint, egy személyben jakobinus és bonapartista volt, elég bátor volt, hogy egyízben szót emeljen e szép fák rendszeresen ismétlődő megcsonkítása ellen.
— Tôi thích bóng mát, ông de Rênal trả lời với cái giọng kẻ cả đúng mức độ vừa phải khi nói năng với một ông bác sĩ quân y trưởng có Bắc Đẩu Bội Tinh, tôi thích bóng mát, tôi cho xén cây cối của tôi để cho có bóng mát, và tôi không quan niệm rằng một cái cây con có tác dụng gì khác, trừ phi nó sinh lơi nhuận, như cây hồ đào ích lợi kia chẳng hạn.	- Én az árnyékot szeretem, - felelt de Rênal úr, hangjában a kevélységnek azzal az árnyalatával, mely illendő, ha az ember egy sebészszel beszél, a ki a becsületrend lovagja; - az árnyékot szeretem, azért nyesetem meg fáimat, hogy árnyékot adjanak és nem látom be, mi más rendeltetése volna a fának, hacsak, mint a hasznos diófa, valami jövedelmet nem hajt.
Sinh lợi nhuận là cái lý lẽ nó quyết định hết thảy trong cái thành phố nhỏ bề ngoài có vẻ rất xinh đẹp kia.	Jövedelmet hajt - ez az érv irányít mindent ebben a kis városban, mely oly csinosnak tünt fel.
Người khách mới đến, bị quyến rũ vì cái vẻ đẹp của những thung lũng tươi mát và sâu thẳm vây bọc quanh mình, lúc đầu tưởng rằng cư dân ở đây yêu thích cái đẹp, vả lại họ hay nói luôn đến vẻ đẹp của xứ sở họ, người ta không thể chối cãi rằng họ không coi trọng vẻ đẹp đó, nhưng chỉ là vẻ đẹp đó thu hút được một số khách đem tiền đến làm giàu cho các ông chủ quán, cái đó, nhờ bộ máy thuế quan, sinh lợi nhuận cho thành phố.	Az idegen, a kit elbájol az üde és mélyen elnyúló völgyek szépsége, melyek körülveszik, eleinte azt képzeli, hogy a lakosok fogékonyak a szép iránt; nagyon is sokszor említik a vidék szépségét: tagadhatatlan, hogy igen büszkék reá; de csak azért, mert odavonz egynéhány idegent, a kiknek a pénze meggazdagítja a vendéglősöket, a mi azután az adózás során jövedelmet hajt a városnak.
Một ngày thu đẹp trời, Ông de Rênal khoác tay vợ dạo chơi trên Đường Dạo Trung Thành.	Egy szép őszi napon de Rênal úr a Hűség útján sétált, karján vezetve nejét.
Vừa lắng nghe chồng nói chuyện ra vẻ nghiêm trọng, bà de Rênal vừa để mắt lo ngại dõi theo mọi cử chỉ của ba thằng con nhỏ.	A mellett, hogy figyelemmel hallgatta férjét, a ki fontos arczkifejezéssel beszélt, de Rênal-né pillantása nyugtalanul követte három kis fiú mozdulatait.
Thằng lớn nhất, trạc mười một tuổi, hay mon men đến gần bức lan can và ra dáng muốn trèo lên.	A legidősebb, a ki tizenegy éves lehetett, nagyon gyakran közeledett a falhoz és úgy látszott, hogy kedve volna fölhágni reá.
Một giọng nói dịu dàng gọi tên Adolphe và thằng bé liền bỏ cái dự định táo bạo của nó.	Egy nyájas hang ilyenkor az Adolf nevet mondta és a gyermek lemondott nagyratörő tervéről.
Bà de Rênal trông ra vẻ một người đàn bà đã ba mươi tuổi nhưng còn khá xinh đẹp.	De Rênal-né harmincz éves, de még elég csinos asszonynak látszott.
Ông de Rênal nói có vẻ tức giận, và gò má lại càng tái nhợt hơn lúc thường.	- szólt de Rênal úr, sértődött hangon és még a rendesnél is haloványabb arczczal.
Nhưng, mặc dù tôi muốn nói chuyện với bạn về tỉnh lẻ trong hai trăm trang giấy, tôi cũng sẽ không dã man bắt bạn phải chịu đựng cái dài dòng văn tự và những rào đón khôn khéo của một câu chuyện đối thoại ở tỉnh lẻ.	Azonban, noha kétszáz lapon át a vidéki életről fogok szólni, nem vagyok oly barbár, hogy az olvasót megkínozzam a vidéki beszédmód hosszadalmasságával és körültekintő óvatosságával.
Cái con người quý hóa của Paris kia, mà ông thị trưởng Verrières hết sức thù ghét, chẳng phải ai khác hơn là ông Appert , vừa hai hôm trước, đã tìm được cách len lỏi không những vào nhà đề lao và viện tế bần của Verrières, mà cả vào bệnh viện mà ông thị trưởng và những nhà nghiệp chủ quan trọng nhất của địa phương quản lý công không.	Az a fiatal párisi úr, a ki a verrières-i polgármesternek oly ellenszenves, nem más, mint Appert úr, a ki két nap előtt be tudott jutni nemcsak a verrières-i börtönbe és a szegényházba, hanem a kórházba is, melynek kormányzását a polgármester és a környékbeli gazdagabb urak ingyen végezték.
— Nhưng mà, bà de Rênal rụt rè nói, cái con người của Paris kia có thể làm gì hại ông được?	- De hát - szólt félénken de Rênal-né - mit árthat neked ez a párisi úr, miután a legszigorúbb becsületességgel kezeled a szegények jószágát?
Ông vẫn quản lý tài sản của người nghèo một cách hết sức thẳng thắn phân minh kia mà.	- Csak azért jött, hogy gáncsolni valót leljen és azután czikkeket írjon a liberális ujságokba.
— Nhưng người ta cứ đem những bài báo Jacobins đó mà nói đến tai chúng ta, tất cả những cái đó làm cho ta phân tâm và ngăn cản chúng ta làm điều thiện.	- De beszélnek róluk az embernek; ez elvon bennünket dolgainktól és megakadályoz a jó cselekedetekben.
về phần tôi thì tôi sẽ không bao giờ tha thứ cho ông cha xứ.	A mi engem illet, sohasem fogok megbocsátani a plébánosnak.
TÀI SẢN CỦA NGƯỜI NGHÈO	A SZEGÉNYEK JÓSZÁGA.
Một cha xứ có đạo đức và không chạy vạy mưu mô, là một vị Phúc Thần cho thôn xã.	Az erényes és ármány nélkül való lelkész valóságos gondviselése a falunak.
FLEURY	Fleury.
Cần phải biết rằng cha xứ ở Verrières, một ông già tám mươi tuổi, nhưng nhờ khí hậu lạnh gắt của miền núi này mà có một sức khang kiện và một tính khí rắn rỏi đanh thép, có quyền đến thăm bất cứ lúc nào nhà đề lao, bệnh viện và cả viện tế bần nữa.	Tudnivaló, hogy a verrières-i plébános, egy nyolczvan éves aggastyán, a kit azonban a hegyi levegő vasegészséggel és vas-jellemmel ajándékozott meg, föl volt jogosítva, hogy bármikor beléphet a börtönbe, a kórházba, sőt a szegényházba is.
Ông Appert, được giới thiệu từ Paris với cha xứ, đã khôn ngoan đến một thành phố nhỏ thóc mách đúng vào lúc sáu giờ sáng.	Épp reggeli hat óra volt, mikor Appert úr, a ki Párisból a plébánoshoz hozott ajánlatot, megérkezett az érdekes kis városba.
Ông liền đến ngay nhà xứ.	Egyenesen a plébániára ment.
Đọc bức thư của hầu tước de La Mole, nguyên lão nghị viện nước Pháp, và là nhà nghiệp chủ giàu nhất xứ, cha xứ Chélan ngồi trầm ngâm suy nghĩ.	Chélan abbé, miután elolvasta a levelet, melyet de La Mole marquis, Francziaország pair-je és a környék leggazdagabb földbirtokosa írt neki, gondolatokba mélyedten nézett maga elé.
Mình già nua tuổi tác và được nhân dân ở đây yêu mến, ông tự lẩm bẩm một mình, họ chả dám đâu!	- Öreg vagyok és híveim szeretnek, - szólt végre halk hangon, mintegy önmagához beszélve, - nem lesz bátorságuk!
Ông bèn quay ngay lại phía con người của Paris, đôi mắt ông, mặc dầu tuổi tác, sáng ngời ánh lửa thiêng liêng, biểu lộ niềm vui thích được làm một hành vi tốt đẹp hơn nguy hiểm.	- Ezzel gyorsan a párisi úr felé fordult, reáemelve szemét, melyben idős kora ellenére is ott ragyogott a szent tűz, a mi valamely nemes, de kissé veszedelmes tettre való elhatározás örömének a jele.
